Drug_name,absorption,solubility,toxicity
dobutamine,Moderate,Sparingly soluble,Highly toxic
docetaxel,Moderate,Sparingly soluble,Moderately toxic
docosanol,Low,Water-soluble,Highly toxic
docusate,High,Poorly soluble,Mildly toxic
docusate / senna,Moderate,Water-soluble,Mildly toxic
dofetilide,Moderate,Poorly soluble,Mildly toxic
donepezil,Moderate,Water-soluble,Mildly toxic
donepezil / memantine,Low,Water-soluble,Moderately toxic
doripenem,Moderate,Sparingly soluble,Mildly toxic
dorzolamide,High,Poorly soluble,Moderately toxic
dorzolamide / timolol,Moderate,Sparingly soluble,Mildly toxic
doxapram,Moderate,Poorly soluble,Moderately toxic
doxazosin,High,Water-soluble,Highly toxic
doxepin,Moderate,Water-soluble,Mildly toxic
doxercalciferol,Low,Poorly soluble,Moderately toxic
doxorubicin,Low,Sparingly soluble,Highly toxic
doxorubicin liposomal,Low,Sparingly soluble,Mildly toxic
doxycycline,High,Sparingly soluble,Mildly toxic
doxylamine,Moderate,Sparingly soluble,Mildly toxic
doxylamine / pyridoxine,Low,Water-soluble,Moderately toxic
dronabinol,High,Water-soluble,Moderately toxic
dronedarone,Moderate,Water-soluble,Highly toxic
droperidol,High,Water-soluble,Moderately toxic
drospirenone / ethinyl estradiol,Low,Water-soluble,Moderately toxic
drospirenone / ethinyl estradiol / levomefolate calcium,Low,Sparingly soluble,Mildly toxic
droxidopa,Low,Sparingly soluble,Mildly toxic
duloxetine,High,Sparingly soluble,Mildly toxic
dutasteride,High,Sparingly soluble,Mildly toxic
dutasteride / tamsulosin,Low,Water-soluble,Mildly toxic
duvelisib,High,Water-soluble,Mildly toxic
dyclonine,Low,Water-soluble,Mildly toxic
dyphylline,Low,Poorly soluble,Highly toxic
"ebola zaire vaccine, live",Moderate,Sparingly soluble,Highly toxic
econazole,High,Sparingly soluble,Highly toxic
eculizumab,Low,Water-soluble,Highly toxic
edaravone,Low,Sparingly soluble,Mildly toxic
edetate calcium disodium,High,Sparingly soluble,Highly toxic
edoxaban,Moderate,Water-soluble,Mildly toxic
efavirenz,Moderate,Poorly soluble,Highly toxic
efavirenz / emtricitabine / tenofovir,Low,Poorly soluble,Moderately toxic
efinaconazole,High,Poorly soluble,Highly toxic
elapegademase,Moderate,Water-soluble,Highly toxic
elbasvir / grazoprevir,High,Sparingly soluble,Mildly toxic
eletriptan,High,Water-soluble,Highly toxic
eliglustat,Low,Water-soluble,Moderately toxic
elosulfase alfa,Moderate,Sparingly soluble,Mildly toxic
eltrombopag,Low,Poorly soluble,Mildly toxic
emapalumab,Moderate,Poorly soluble,Highly toxic
emicizumab,Moderate,Water-soluble,Mildly toxic
emollients,Moderate,Poorly soluble,Mildly toxic
emtricitabine / tenofovir,Moderate,Water-soluble,Mildly toxic
emtricitabine / tenofovir alafenamide,Moderate,Water-soluble,Mildly toxic
enalapril,High,Sparingly soluble,Mildly toxic
enasidenib,Low,Sparingly soluble,Mildly toxic
enoxaparin,High,Sparingly soluble,Moderately toxic
entacapone,Moderate,Water-soluble,Highly toxic
entecavir,Low,Sparingly soluble,Moderately toxic
entrectinib,Moderate,Poorly soluble,Mildly toxic
enzalutamide,Low,Poorly soluble,Mildly toxic
ephedrine,High,Water-soluble,Highly toxic
epinastine,Low,Water-soluble,Moderately toxic
epinephrine,Low,Sparingly soluble,Highly toxic
epirubicin,Low,Water-soluble,Moderately toxic
epoetin alfa,Low,Water-soluble,Mildly toxic
epoprostenol,Low,Poorly soluble,Highly toxic
eptifibatide,Moderate,Poorly soluble,Highly toxic
erdafitinib,Low,Sparingly soluble,Mildly toxic
ergocalciferol,Low,Water-soluble,Highly toxic
ergoloid mesylates,High,Water-soluble,Moderately toxic
eribulin,Low,Poorly soluble,Moderately toxic
erlotinib,High,Water-soluble,Moderately toxic
erythromycin,Moderate,Poorly soluble,Moderately toxic
escitalopram,Low,Sparingly soluble,Mildly toxic
esmolol,High,Poorly soluble,Highly toxic
esomeprazole,High,Water-soluble,Moderately toxic
esomeprazole / naproxen,Moderate,Sparingly soluble,Mildly toxic
esterified estrogens,Low,Poorly soluble,Highly toxic
esterified estrogens / methyltestosterone,Low,Poorly soluble,Highly toxic
estradiol,High,Sparingly soluble,Mildly toxic
estradiol / levonorgestrel,Low,Sparingly soluble,Mildly toxic
estradiol / norethindrone,High,Poorly soluble,Moderately toxic
estradiol / progesterone,Low,Water-soluble,Highly toxic
estropipate,High,Poorly soluble,Highly toxic
eszopiclone,Low,Sparingly soluble,Mildly toxic
etanercept,Moderate,Poorly soluble,Highly toxic
eteplirsen,Low,Sparingly soluble,Moderately toxic
ethacrynic acid,Low,Sparingly soluble,Highly toxic
ethambutol,Moderate,Water-soluble,Mildly toxic
ethanolamine oleate,Low,Sparingly soluble,Mildly toxic
ethinyl estradiol,Moderate,Sparingly soluble,Moderately toxic
ethinyl estradiol / levonorgestrel,Low,Water-soluble,Moderately toxic
ethinyl estradiol / norethindrone,High,Sparingly soluble,Highly toxic
ethinyl estradiol / norgestimate,High,Water-soluble,Highly toxic
ethinyl estradiol / norgestrel,Low,Water-soluble,Mildly toxic
etidronate,Low,Sparingly soluble,Moderately toxic
etodolac,Low,Sparingly soluble,Moderately toxic
etomidate,High,Poorly soluble,Moderately toxic
etoposide,Low,Water-soluble,Highly toxic
everolimus,High,Poorly soluble,Moderately toxic
evolocumab,Moderate,Sparingly soluble,Mildly toxic
exemestane,High,Poorly soluble,Mildly toxic
ezetimibe,High,Water-soluble,Highly toxic
ezetimibe / simvastatin,Moderate,Poorly soluble,Highly toxic
factor XIII,High,Water-soluble,Moderately toxic
factor ix complex,Low,Sparingly soluble,Highly toxic
famciclovir,Low,Sparingly soluble,Mildly toxic
famotidine,High,Water-soluble,Moderately toxic
famotidine / ibuprofen,Low,Sparingly soluble,Mildly toxic
fat emulsion,High,Sparingly soluble,Moderately toxic
febuxostat,Low,Sparingly soluble,Highly toxic
fedratinib,Low,Sparingly soluble,Moderately toxic
felbamate,High,Water-soluble,Moderately toxic
felodipine,Low,Poorly soluble,Mildly toxic
fenofibrate,High,Poorly soluble,Mildly toxic
fenofibric acid,Low,Sparingly soluble,Moderately toxic
fenoldopam,Low,Poorly soluble,Highly toxic
fentanyl,Moderate,Poorly soluble,Highly toxic
ferric citrate,Moderate,Sparingly soluble,Mildly toxic
ferrous fumarate,High,Sparingly soluble,Highly toxic
ferrous fumarate / folic acid,Moderate,Poorly soluble,Mildly toxic
ferrous gluconate,High,Water-soluble,Highly toxic
ferrous sulfate,Moderate,Sparingly soluble,Moderately toxic
ferumoxytol,Low,Water-soluble,Mildly toxic
fesoterodine,High,Poorly soluble,Mildly toxic
fexofenadine,High,Sparingly soluble,Moderately toxic
fibrin sealant,Low,Water-soluble,Mildly toxic
fibrinogen,High,Sparingly soluble,Highly toxic
fidaxomicin,High,Poorly soluble,Highly toxic
filgrastim,Moderate,Water-soluble,Mildly toxic
finasteride,High,Poorly soluble,Highly toxic
fingolimod,Low,Poorly soluble,Mildly toxic
flavoxate,Moderate,Sparingly soluble,Moderately toxic
flecainide,Moderate,Water-soluble,Mildly toxic
flibanserin,Low,Poorly soluble,Moderately toxic
florbetaben f-18,Low,Poorly soluble,Highly toxic
florbetapir F 18,Moderate,Water-soluble,Moderately toxic
floxuridine,High,Poorly soluble,Highly toxic
fluciclovine F 18,Moderate,Poorly soluble,Mildly toxic
fluconazole,Low,Water-soluble,Highly toxic
flucytosine,Moderate,Water-soluble,Mildly toxic
fludarabine,Low,Water-soluble,Mildly toxic
fludrocortisone,Moderate,Water-soluble,Moderately toxic
flunisolide,High,Sparingly soluble,Moderately toxic
fluocinolone,Moderate,Water-soluble,Moderately toxic
fluocinolone / hydroquinone / tretinoin,Moderate,Sparingly soluble,Moderately toxic
fluocinolone / neomycin,Low,Sparingly soluble,Highly toxic
fluocinonide,Low,Sparingly soluble,Highly toxic
fluoride,Low,Poorly soluble,Highly toxic
fluorometholone,Moderate,Sparingly soluble,Mildly toxic
fluorouracil,High,Sparingly soluble,Highly toxic
fluoxetine,Low,Poorly soluble,Highly toxic
fluoxymesterone,Low,Poorly soluble,Highly toxic
flurazepam,Moderate,Poorly soluble,Moderately toxic
flurbiprofen,Low,Water-soluble,Highly toxic
flutamide,High,Poorly soluble,Mildly toxic
flutemetamol f-18,High,Poorly soluble,Moderately toxic
fluticasone,Low,Sparingly soluble,Mildly toxic
fluticasone / salmeterol,Low,Poorly soluble,Highly toxic
fluticasone / umeclidinium / vilanterol,Moderate,Water-soluble,Moderately toxic
fluticasone / vilanterol,High,Poorly soluble,Mildly toxic
fluvastatin,High,Water-soluble,Highly toxic
fluvoxamine,Low,Poorly soluble,Mildly toxic
folic acid,Moderate,Poorly soluble,Mildly toxic
follicle stimulating hormone,High,Poorly soluble,Mildly toxic
fomepizole,High,Poorly soluble,Highly toxic
fondaparinux,Moderate,Water-soluble,Highly toxic
formaldehyde,Moderate,Water-soluble,Mildly toxic
formoterol,High,Sparingly soluble,Moderately toxic
formoterol / mometasone,High,Water-soluble,Moderately toxic
foscarnet,Moderate,Poorly soluble,Highly toxic
fosfomycin,High,Sparingly soluble,Highly toxic
fosinopril,Low,Sparingly soluble,Highly toxic
furosemide,Low,Sparingly soluble,Highly toxic
gabapentin,Moderate,Poorly soluble,Highly toxic
gabapentin enacarbil,Moderate,Water-soluble,Moderately toxic
gadobenate dimeglumine,Moderate,Poorly soluble,Highly toxic
gadobutrol,Low,Sparingly soluble,Mildly toxic
gadodiamide,High,Poorly soluble,Mildly toxic
gadopentetate dimeglumine,Low,Poorly soluble,Moderately toxic
gadoterate meglumine,High,Water-soluble,Mildly toxic
gadoxetate disodium,Low,Water-soluble,Moderately toxic
galantamine,High,Sparingly soluble,Moderately toxic
gallium ga 68 dotatate,Low,Poorly soluble,Mildly toxic
galsulfase,Moderate,Poorly soluble,Highly toxic
ganciclovir,Low,Water-soluble,Mildly toxic
ganirelix,High,Poorly soluble,Mildly toxic
gatifloxacin,Low,Poorly soluble,Moderately toxic
gefitinib,Low,Poorly soluble,Mildly toxic
gemcitabine,Low,Water-soluble,Moderately toxic
gemfibrozil,Moderate,Sparingly soluble,Highly toxic
gemifloxacin,Low,Sparingly soluble,Highly toxic
gemtuzumab,Moderate,Poorly soluble,Highly toxic
gentamicin,Moderate,Sparingly soluble,Mildly toxic
gentamicin / prednisolone,Low,Water-soluble,Moderately toxic
gentian violet,Low,Water-soluble,Highly toxic
gilteritinib,Low,Sparingly soluble,Moderately toxic
glasdegib,High,Sparingly soluble,Moderately toxic
glatiramer,Low,Poorly soluble,Highly toxic
glecaprevir / pibrentasvir,Moderate,Sparingly soluble,Highly toxic
glimepiride,Low,Poorly soluble,Moderately toxic
glipizide,High,Poorly soluble,Highly toxic
glucagon,Low,Water-soluble,Moderately toxic
glucarpidase,High,Water-soluble,Moderately toxic
glutamine,High,Water-soluble,Highly toxic
glycerin,Low,Water-soluble,Mildly toxic
glycopyrrolate,Moderate,Sparingly soluble,Highly toxic
glycopyrronium,High,Water-soluble,Mildly toxic
golimumab,Low,Sparingly soluble,Moderately toxic
goserelin,Low,Water-soluble,Moderately toxic
granisetron,Moderate,Sparingly soluble,Mildly toxic
griseofulvin,High,Poorly soluble,Moderately toxic
guaifenesin,High,Sparingly soluble,Mildly toxic
guaifenesin / phenylephrine,Low,Sparingly soluble,Mildly toxic
guaifenesin / pseudoephedrine,Low,Water-soluble,Moderately toxic
guanfacine,Moderate,Sparingly soluble,Mildly toxic
guanidine,Moderate,Poorly soluble,Highly toxic
haemophilus b conjugate (prp-omp) vaccine,High,Poorly soluble,Highly toxic
halobetasol,High,Water-soluble,Moderately toxic
haloperidol,Low,Poorly soluble,Moderately toxic
hemin,High,Sparingly soluble,Mildly toxic
heparin,Moderate,Poorly soluble,Mildly toxic
hepatitis a adult vaccine,Moderate,Water-soluble,Mildly toxic
hepatitis a adult vaccine / hepatitis b adult vaccine,Low,Sparingly soluble,Mildly toxic
hepatitis b immune globulin,Moderate,Water-soluble,Highly toxic
hepatitis b pediatric vaccine,Moderate,Sparingly soluble,Highly toxic
hetastarch,Moderate,Poorly soluble,Moderately toxic
histrelin,Moderate,Water-soluble,Mildly toxic
homatropine,Low,Water-soluble,Mildly toxic
homatropine / hydrocodone,Low,Sparingly soluble,Moderately toxic
human papillomavirus vaccine,High,Water-soluble,Mildly toxic
hyaluronidase,Moderate,Sparingly soluble,Mildly toxic
hyaluronidase / rituximab,High,Sparingly soluble,Mildly toxic
hydralazine,Low,Sparingly soluble,Mildly toxic
hydrochlorothiazide,Low,Sparingly soluble,Mildly toxic
hydrochlorothiazide / lisinopril,Low,Poorly soluble,Moderately toxic
hydrochlorothiazide / spironolactone,Low,Sparingly soluble,Mildly toxic
hydrochlorothiazide / triamterene,Low,Water-soluble,Moderately toxic
hydrocortisone,Low,Poorly soluble,Mildly toxic
hydrocortisone / lidocaine,Low,Water-soluble,Highly toxic
hydrocortisone / neomycin / polymyxin b,Moderate,Poorly soluble,Highly toxic
hydrocortisone / pramoxine,High,Sparingly soluble,Highly toxic
hydrogen peroxide,Low,Poorly soluble,Highly toxic
hydroquinone,Moderate,Poorly soluble,Moderately toxic
hydroxocobalamin,Moderate,Water-soluble,Moderately toxic
hydroxychloroquine,High,Water-soluble,Mildly toxic
hydroxyethyl starch,Low,Sparingly soluble,Highly toxic
hydroxypropyl methylcellulose,High,Poorly soluble,Moderately toxic
hydroxyquinoline,Low,Poorly soluble,Mildly toxic
hydroxyurea,Moderate,Poorly soluble,Mildly toxic
hydroxyzine,Moderate,Sparingly soluble,Moderately toxic
hyoscyamine,Moderate,Sparingly soluble,Highly toxic
ibandronate,Moderate,Sparingly soluble,Mildly toxic
ibritumomab,High,Sparingly soluble,Highly toxic
ibrutinib,Low,Sparingly soluble,Highly toxic
ibuprofen,Low,Water-soluble,Highly toxic
ibuprofen / pseudoephedrine,High,Poorly soluble,Mildly toxic
ibutilide,Low,Poorly soluble,Highly toxic
icatibant,Moderate,Poorly soluble,Mildly toxic
icosapent,Low,Poorly soluble,Highly toxic
idarubicin,Moderate,Poorly soluble,Mildly toxic
idarucizumab,High,Poorly soluble,Highly toxic
idelalisib,Low,Poorly soluble,Moderately toxic
ifosfamide,High,Poorly soluble,Highly toxic
iloperidone,Low,Water-soluble,Highly toxic
iloprost,Moderate,Poorly soluble,Mildly toxic
imatinib,High,Water-soluble,Mildly toxic
imiglucerase,Low,Sparingly soluble,Highly toxic
imipramine,Moderate,Poorly soluble,Moderately toxic
imiquimod,High,Sparingly soluble,Moderately toxic
immune globulin intramuscular,High,Sparingly soluble,Mildly toxic
immune globulin intravenous,Low,Sparingly soluble,Moderately toxic
immune globulin intravenous and subcutaneous,Low,Water-soluble,Highly toxic
immune globulin subcutaneous,Low,Sparingly soluble,Mildly toxic
incobotulinumtoxinA,Moderate,Sparingly soluble,Highly toxic
indomethacin,Low,Sparingly soluble,Mildly toxic
infliximab,High,Poorly soluble,Mildly toxic
"influenza virus vaccine, h5n1",High,Poorly soluble,Mildly toxic
"influenza virus vaccine, inactivated",Low,Water-soluble,Mildly toxic
"influenza virus vaccine, live, trivalent",Low,Water-soluble,Moderately toxic
ingenol,High,Poorly soluble,Highly toxic
inotersen,Moderate,Water-soluble,Highly toxic
insulin aspart,Low,Poorly soluble,Highly toxic
insulin aspart / insulin degludec,Low,Sparingly soluble,Mildly toxic
insulin glargine,High,Sparingly soluble,Moderately toxic
insulin glulisine,Low,Water-soluble,Highly toxic
insulin isophane / insulin regular,Moderate,Poorly soluble,Moderately toxic
insulin lispro,High,Poorly soluble,Mildly toxic
insulin regular,Low,Water-soluble,Highly toxic
interferon alfa-2b,High,Poorly soluble,Moderately toxic
interferon alfa-n3,Low,Sparingly soluble,Mildly toxic
interferon beta-1a,Low,Water-soluble,Moderately toxic
interferon beta-1b,Low,Water-soluble,Highly toxic
interferon gamma-1b,Moderate,Poorly soluble,Highly toxic
iobenguane I 123,Moderate,Water-soluble,Mildly toxic
iobenguane I 131,High,Poorly soluble,Mildly toxic
iodine,Low,Poorly soluble,Mildly toxic
iodine / potassium iodide,Low,Poorly soluble,Moderately toxic
iodixanol,Moderate,Poorly soluble,Moderately toxic
iohexol,Low,Poorly soluble,Moderately toxic
iopamidol,Moderate,Water-soluble,Mildly toxic
iopromide,Low,Sparingly soluble,Highly toxic
ioversol,High,Sparingly soluble,Highly toxic
ipilimumab,Low,Water-soluble,Moderately toxic
ipratropium,Low,Water-soluble,Moderately toxic
irbesartan,Moderate,Sparingly soluble,Highly toxic
irinotecan,Low,Sparingly soluble,Highly toxic
irinotecan liposomal,Low,Sparingly soluble,Moderately toxic
iron polysaccharide,Moderate,Sparingly soluble,Moderately toxic
iron sucrose,High,Sparingly soluble,Highly toxic
isavuconazonium,High,Poorly soluble,Mildly toxic
isoniazid,Moderate,Water-soluble,Moderately toxic
isoniazid / pyrazinamide / rifampin,Moderate,Poorly soluble,Highly toxic
isoniazid / rifampin,Moderate,Sparingly soluble,Highly toxic
isoproterenol,Moderate,Sparingly soluble,Highly toxic
isosorbide dinitrate,Moderate,Sparingly soluble,Highly toxic
isosorbide mononitrate,High,Poorly soluble,Mildly toxic
isotretinoin,High,Poorly soluble,Highly toxic
isoxsuprine,Moderate,Sparingly soluble,Moderately toxic
isradipine,Low,Poorly soluble,Mildly toxic
itraconazole,Moderate,Poorly soluble,Highly toxic
ivacaftor,Low,Sparingly soluble,Mildly toxic
ivacaftor / lumacaftor,Moderate,Poorly soluble,Moderately toxic
ivermectin,Moderate,Water-soluble,Highly toxic
ivosidenib,High,Water-soluble,Moderately toxic
ixekizumab,Low,Water-soluble,Highly toxic
"japanese enceph vacc sa14-14-2, inactivated",Low,Water-soluble,Highly toxic
ketamine,High,Sparingly soluble,Highly toxic
ketoconazole,High,Sparingly soluble,Highly toxic
ketoprofen,High,Sparingly soluble,Highly toxic
ketorolac,High,Water-soluble,Mildly toxic
ketorolac / phenylephrine,Low,Water-soluble,Highly toxic
ketotifen,Low,Poorly soluble,Highly toxic
l-methylfolate,Moderate,Poorly soluble,Mildly toxic
labetalol,Moderate,Water-soluble,Mildly toxic
lactase,High,Water-soluble,Mildly toxic
lactic acid,High,Water-soluble,Mildly toxic
lactulose,High,Water-soluble,Mildly toxic
lamivudine,Moderate,Poorly soluble,Mildly toxic
lamivudine / zidovudine,Moderate,Water-soluble,Highly toxic
lamotrigine,Moderate,Poorly soluble,Highly toxic
lanadelumab,Moderate,Water-soluble,Moderately toxic
lanolin,Moderate,Water-soluble,Highly toxic
lansoprazole,Moderate,Water-soluble,Highly toxic
lanthanum carbonate,Moderate,Poorly soluble,Mildly toxic
laronidase,High,Poorly soluble,Mildly toxic
larotrectinib,High,Sparingly soluble,Highly toxic
latanoprost,High,Water-soluble,Moderately toxic
ledipasvir / sofosbuvir,High,Sparingly soluble,Mildly toxic
leflunomide,Moderate,Sparingly soluble,Highly toxic
lenalidomide,Low,Poorly soluble,Highly toxic
lenvatinib,Moderate,Poorly soluble,Moderately toxic
lesinurad,Low,Sparingly soluble,Moderately toxic
letermovir,High,Water-soluble,Mildly toxic
letrozole,Moderate,Poorly soluble,Moderately toxic
leucovorin,High,Water-soluble,Highly toxic
leuprolide,Moderate,Water-soluble,Highly toxic
levalbuterol,High,Sparingly soluble,Moderately toxic
levetiracetam,Low,Sparingly soluble,Moderately toxic
levobunolol,Low,Sparingly soluble,Moderately toxic
levocarnitine,Low,Sparingly soluble,Moderately toxic
levocetirizine,Moderate,Poorly soluble,Mildly toxic
levodopa,Low,Poorly soluble,Moderately toxic
levofloxacin,Moderate,Sparingly soluble,Mildly toxic
levoleucovorin,Low,Poorly soluble,Highly toxic
levonorgestrel,Low,Sparingly soluble,Moderately toxic
levorphanol,Moderate,Water-soluble,Mildly toxic
levothyroxine,Moderate,Water-soluble,Moderately toxic
lidocaine,Low,Water-soluble,Highly toxic
lifitegrast,Moderate,Sparingly soluble,Highly toxic
linaclotide,Low,Water-soluble,Highly toxic
lindane,Moderate,Poorly soluble,Moderately toxic
linezolid,High,Water-soluble,Moderately toxic
liothyronine,High,Water-soluble,Mildly toxic
liraglutide,High,Water-soluble,Highly toxic
lisdexamfetamine,High,Poorly soluble,Moderately toxic
lisinopril,High,Sparingly soluble,Highly toxic
lithium,Low,Poorly soluble,Highly toxic
lodoxamide,High,Sparingly soluble,Mildly toxic
lofexidine,High,Sparingly soluble,Mildly toxic
lomitapide,High,Water-soluble,Mildly toxic
lomustine,High,Sparingly soluble,Mildly toxic
loperamide,Moderate,Poorly soluble,Highly toxic
loperamide / simethicone,Low,Poorly soluble,Mildly toxic
lopinavir / ritonavir,High,Sparingly soluble,Mildly toxic
loratadine,High,Water-soluble,Mildly toxic
loratadine / pseudoephedrine,High,Water-soluble,Mildly toxic
lorazepam,Low,Poorly soluble,Highly toxic
lorcaserin,Moderate,Water-soluble,Mildly toxic
losartan,Low,Sparingly soluble,Highly toxic
loteprednol,Moderate,Sparingly soluble,Moderately toxic
loteprednol / tobramycin,High,Poorly soluble,Highly toxic
lovastatin,High,Sparingly soluble,Highly toxic
loxapine,Low,Poorly soluble,Mildly toxic
lubiprostone,Low,Sparingly soluble,Moderately toxic
lurasidone,Moderate,Poorly soluble,Moderately toxic
luspatercept,Moderate,Water-soluble,Moderately toxic
lusutrombopag,Low,Sparingly soluble,Moderately toxic
lutein,Moderate,Sparingly soluble,Highly toxic
lutetium lu 177 dotatate,Low,Poorly soluble,Moderately toxic
lvp solution,Moderate,Poorly soluble,Highly toxic
"lymphocyte immune globulin, anti-thy (equine)",Low,Sparingly soluble,Highly toxic
macimorelin,Low,Poorly soluble,Highly toxic
macitentan,Low,Sparingly soluble,Moderately toxic
magnesium carbonate,Moderate,Water-soluble,Mildly toxic
magnesium chloride,Moderate,Poorly soluble,Mildly toxic
magnesium citrate,Moderate,Sparingly soluble,Moderately toxic
magnesium gluconate,Low,Water-soluble,Mildly toxic
magnesium hydroxide,Moderate,Water-soluble,Mildly toxic
magnesium oxide,Moderate,Sparingly soluble,Highly toxic
magnesium salicylate,Low,Poorly soluble,Highly toxic
magnesium sulfate,High,Sparingly soluble,Moderately toxic
magnesium sulfate / potassium sulfate / sodium sulfate,Low,Water-soluble,Moderately toxic
malathion,Moderate,Sparingly soluble,Mildly toxic
mannitol,Low,Poorly soluble,Highly toxic
measles virus vaccine,High,Water-soluble,Moderately toxic
measles virus vaccine / mumps virus vaccine / rubella virus vaccine,Low,Sparingly soluble,Moderately toxic
measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine,Moderate,Poorly soluble,Moderately toxic
mebendazole,High,Water-soluble,Moderately toxic
mecasermin,Moderate,Poorly soluble,Moderately toxic
mechlorethamine,High,Water-soluble,Moderately toxic
meclizine,High,Sparingly soluble,Mildly toxic
medroxyprogesterone,Low,Poorly soluble,Highly toxic
mefenamic acid,Low,Water-soluble,Highly toxic
mefloquine,Moderate,Poorly soluble,Moderately toxic
megestrol,Low,Poorly soluble,Highly toxic
meloxicam,Low,Sparingly soluble,Highly toxic
melphalan,High,Poorly soluble,Highly toxic
memantine,Low,Water-soluble,Moderately toxic
meningococcal conjugate vaccine,High,Water-soluble,Moderately toxic
menthol,High,Water-soluble,Highly toxic
menthol / zinc oxide,High,Water-soluble,Highly toxic
meperidine,Moderate,Sparingly soluble,Moderately toxic
mepivacaine,Moderate,Poorly soluble,Mildly toxic
mepolizumab,Moderate,Sparingly soluble,Highly toxic
mercaptopurine,High,Poorly soluble,Mildly toxic
meropenem,Moderate,Poorly soluble,Highly toxic
mesalamine,Moderate,Poorly soluble,Mildly toxic
mesna,Low,Sparingly soluble,Mildly toxic
metaxalone,Moderate,Poorly soluble,Mildly toxic
metformin,Moderate,Sparingly soluble,Moderately toxic
metformin / sitagliptin,High,Water-soluble,Mildly toxic
methadone,High,Water-soluble,Mildly toxic
methamphetamine,High,Poorly soluble,Mildly toxic
methenamine,High,Sparingly soluble,Highly toxic
methimazole,High,Water-soluble,Mildly toxic
methocarbamol,High,Sparingly soluble,Highly toxic
methotrexate,Moderate,Sparingly soluble,Mildly toxic
methoxsalen,High,Poorly soluble,Mildly toxic
methscopolamine,High,Water-soluble,Moderately toxic
methyl aminolevulinate,Low,Poorly soluble,Highly toxic
methyldopa,Moderate,Poorly soluble,Mildly toxic
methylene blue,Moderate,Water-soluble,Highly toxic
methylnaltrexone,Moderate,Water-soluble,Highly toxic
methylphenidate,High,Sparingly soluble,Moderately toxic
methylprednisolone,High,Water-soluble,Moderately toxic
methyltestosterone,High,Sparingly soluble,Moderately toxic
metoclopramide,Low,Sparingly soluble,Moderately toxic
metolazone,High,Sparingly soluble,Moderately toxic
metoprolol,Low,Water-soluble,Moderately toxic
metreleptin,Moderate,Poorly soluble,Moderately toxic
metronidazole,High,Sparingly soluble,Moderately toxic
metyrapone,Low,Poorly soluble,Mildly toxic
metyrosine,Low,Poorly soluble,Highly toxic
mexiletine,High,Water-soluble,Moderately toxic
micafungin,Moderate,Poorly soluble,Moderately toxic
miconazole,Moderate,Poorly soluble,Highly toxic
miconazole / zinc oxide,Moderate,Water-soluble,Mildly toxic
midazolam,Low,Sparingly soluble,Highly toxic
midodrine,Low,Poorly soluble,Highly toxic
midostaurin,Low,Water-soluble,Moderately toxic
mifepristone,Low,Poorly soluble,Highly toxic
miglustat,Moderate,Poorly soluble,Highly toxic
milnacipran,High,Sparingly soluble,Moderately toxic
miltefosine,Low,Poorly soluble,Moderately toxic
minocycline,Low,Water-soluble,Moderately toxic
minoxidil,Moderate,Poorly soluble,Moderately toxic
mirabegron,High,Sparingly soluble,Highly toxic
mirtazapine,High,Sparingly soluble,Highly toxic
misoprostol,Moderate,Water-soluble,Mildly toxic
mitomycin,Moderate,Sparingly soluble,Mildly toxic
mitotane,High,Poorly soluble,Highly toxic
mitoxantrone,Low,Sparingly soluble,Mildly toxic
modafinil,High,Water-soluble,Highly toxic
moexipril,Moderate,Sparingly soluble,Mildly toxic
mometasone,Low,Sparingly soluble,Moderately toxic
montelukast,Low,Sparingly soluble,Mildly toxic
morphine,Moderate,Water-soluble,Moderately toxic
moxetumomab pasudotox,Moderate,Sparingly soluble,Moderately toxic
moxidectin,Moderate,Sparingly soluble,Moderately toxic
moxifloxacin,High,Poorly soluble,Moderately toxic
multivitamin,High,Water-soluble,Mildly toxic
multivitamin with iron,Low,Sparingly soluble,Highly toxic
multivitamin with minerals,Moderate,Water-soluble,Moderately toxic
mumps virus vaccine,Low,Sparingly soluble,Mildly toxic
mupirocin,Low,Sparingly soluble,Moderately toxic
muromonab-cd3,Low,Sparingly soluble,Mildly toxic
mycophenolate mofetil,Low,Poorly soluble,Mildly toxic
mycophenolic acid,Moderate,Poorly soluble,Mildly toxic
nabilone,Low,Poorly soluble,Highly toxic
nabumetone,Moderate,Water-soluble,Mildly toxic
nadolol,Moderate,Water-soluble,Mildly toxic
nafarelin,High,Poorly soluble,Highly toxic
naldemedine,Moderate,Water-soluble,Highly toxic
naloxegol,High,Sparingly soluble,Mildly toxic
naloxone,Moderate,Sparingly soluble,Highly toxic
naltrexone,Moderate,Sparingly soluble,Moderately toxic
naphazoline,Moderate,Poorly soluble,Moderately toxic
naphazoline / pheniramine,High,Water-soluble,Highly toxic
naproxen,High,Poorly soluble,Highly toxic
naproxen / pseudoephedrine,Low,Water-soluble,Mildly toxic
naratriptan,High,Sparingly soluble,Highly toxic
natamycin,High,Poorly soluble,Mildly toxic
nebivolol,High,Water-soluble,Moderately toxic
nedocromil,High,Water-soluble,Highly toxic
nelarabine,Low,Sparingly soluble,Mildly toxic
neomycin,High,Poorly soluble,Mildly toxic
neomycin / polymyxin b / pramoxine,Moderate,Poorly soluble,Moderately toxic
neostigmine,Moderate,Poorly soluble,Highly toxic
