Drug,Age_Group,Base_Dose,Multiplier
fluticasone,Infant,229,0.3
fluticasone,Adult,229,1.0
fluticasone,OldAge,229,0.75
diphenhydramine,Infant,366,0.3
diphenhydramine,Adult,366,1.0
diphenhydramine,OldAge,366,0.75
loratadine,Infant,232,0.3
loratadine,Adult,232,1.0
loratadine,OldAge,232,0.75
chlorpheniramine,Infant,238,0.3
chlorpheniramine,Adult,238,1.0
chlorpheniramine,OldAge,238,0.75
promethazine,Infant,234,0.3
promethazine,Adult,234,1.0
promethazine,OldAge,234,0.75
cyproheptadine,Infant,212,0.3
cyproheptadine,Adult,212,1.0
cyproheptadine,OldAge,212,0.75
montelukast,Infant,161,0.3
montelukast,Adult,161,1.0
montelukast,OldAge,161,0.75
fexofenadine,Infant,93,0.3
fexofenadine,Adult,93,1.0
fexofenadine,OldAge,93,0.75
levocetirizine,Infant,447,0.3
levocetirizine,Adult,447,1.0
levocetirizine,OldAge,447,0.75
hydroxyzine,Infant,249,0.3
hydroxyzine,Adult,249,1.0
hydroxyzine,OldAge,249,0.75
triprolidine,Infant,381,0.3
triprolidine,Adult,381,1.0
triprolidine,OldAge,381,0.75
tetracaine,Infant,74,0.3
tetracaine,Adult,74,1.0
tetracaine,OldAge,74,0.75
corticotropin,Infant,75,0.3
corticotropin,Adult,75,1.0
corticotropin,OldAge,75,0.75
dexbrompheniramine,Infant,426,0.3
dexbrompheniramine,Adult,426,1.0
dexbrompheniramine,OldAge,426,0.75
chlorpheniramine / ibuprofen / phenylephrine,Infant,123,0.3
chlorpheniramine / ibuprofen / phenylephrine,Adult,123,1.0
chlorpheniramine / ibuprofen / phenylephrine,OldAge,123,0.75
dexbrompheniramine / phenylephrine,Infant,299,0.3
dexbrompheniramine / phenylephrine,Adult,299,1.0
dexbrompheniramine / phenylephrine,OldAge,299,0.75
minoxidil,Infant,139,0.3
minoxidil,Adult,139,1.0
minoxidil,OldAge,139,0.75
sulfasalazine,Infant,378,0.3
sulfasalazine,Adult,378,1.0
sulfasalazine,OldAge,378,0.75
hydroxyurea,Infant,250,0.3
hydroxyurea,Adult,250,1.0
hydroxyurea,OldAge,250,0.75
deferasirox,Infant,256,0.3
deferasirox,Adult,256,1.0
deferasirox,OldAge,256,0.75
deferiprone,Infant,492,0.3
deferiprone,Adult,492,1.0
deferiprone,OldAge,492,0.75
alpha 1-proteinase inhibitor,Infant,91,0.3
alpha 1-proteinase inhibitor,Adult,91,1.0
alpha 1-proteinase inhibitor,OldAge,91,0.75
losartan,Infant,103,0.3
losartan,Adult,103,1.0
losartan,OldAge,103,0.75
fosinopril,Infant,266,0.3
fosinopril,Adult,266,1.0
fosinopril,OldAge,266,0.75
candesartan,Infant,127,0.3
candesartan,Adult,127,1.0
candesartan,OldAge,127,0.75
quinapril,Infant,132,0.3
quinapril,Adult,132,1.0
quinapril,OldAge,132,0.75
riluzole,Infant,220,0.3
riluzole,Adult,220,1.0
riluzole,OldAge,220,0.75
edaravone,Infant,68,0.3
edaravone,Adult,68,1.0
edaravone,OldAge,68,0.75
trabectedin,Infant,345,0.3
trabectedin,Adult,345,1.0
trabectedin,OldAge,345,0.75
olaratumab,Infant,166,0.3
olaratumab,Adult,166,1.0
olaratumab,OldAge,166,0.75
donepezil,Infant,219,0.3
donepezil,Adult,219,1.0
donepezil,OldAge,219,0.75
memantine,Infant,130,0.3
memantine,Adult,130,1.0
memantine,OldAge,130,0.75
galantamine,Infant,140,0.3
galantamine,Adult,140,1.0
galantamine,OldAge,140,0.75
rivastigmine,Infant,477,0.3
rivastigmine,Adult,477,1.0
rivastigmine,OldAge,477,0.75
vitamin e,Infant,349,0.3
vitamin e,Adult,349,1.0
vitamin e,OldAge,349,0.75
donepezil / memantine,Infant,490,0.3
donepezil / memantine,Adult,490,1.0
donepezil / memantine,OldAge,490,0.75
ergoloid mesylates,Infant,239,0.3
ergoloid mesylates,Adult,239,1.0
ergoloid mesylates,OldAge,239,0.75
tinidazole,Infant,231,0.3
tinidazole,Adult,231,1.0
tinidazole,OldAge,231,0.75
nitazoxanide,Infant,309,0.3
nitazoxanide,Adult,309,1.0
nitazoxanide,OldAge,309,0.75
paromomycin,Infant,187,0.3
paromomycin,Adult,187,1.0
paromomycin,OldAge,187,0.75
chloroquine,Infant,498,0.3
chloroquine,Adult,498,1.0
chloroquine,OldAge,498,0.75
progesterone,Infant,112,0.3
progesterone,Adult,112,1.0
progesterone,OldAge,112,0.75
tafamidis,Infant,205,0.3
tafamidis,Adult,205,1.0
tafamidis,OldAge,205,0.75
inotersen,Infant,368,0.3
inotersen,Adult,368,1.0
inotersen,OldAge,368,0.75
patisiran,Infant,153,0.3
patisiran,Adult,153,1.0
patisiran,OldAge,153,0.75
colchicine,Infant,296,0.3
colchicine,Adult,296,1.0
colchicine,OldAge,296,0.75
piperacillin / tazobactam,Infant,448,0.3
piperacillin / tazobactam,Adult,448,1.0
piperacillin / tazobactam,OldAge,448,0.75
ampicillin / sulbactam,Infant,383,0.3
ampicillin / sulbactam,Adult,383,1.0
ampicillin / sulbactam,OldAge,383,0.75
cefoxitin,Infant,342,0.3
cefoxitin,Adult,342,1.0
cefoxitin,OldAge,342,0.75
cilastatin / imipenem,Infant,231,0.3
cilastatin / imipenem,Adult,231,1.0
cilastatin / imipenem,OldAge,231,0.75
mitomycin,Infant,425,0.3
mitomycin,Adult,425,1.0
mitomycin,OldAge,425,0.75
cisplatin,Infant,169,0.3
cisplatin,Adult,169,1.0
cisplatin,OldAge,169,0.75
lidocaine,Infant,65,0.3
lidocaine,Adult,65,1.0
lidocaine,OldAge,65,0.75
zinc oxide,Infant,75,0.3
zinc oxide,Adult,75,1.0
zinc oxide,OldAge,75,0.75
benzocaine,Infant,455,0.3
benzocaine,Adult,455,1.0
benzocaine,OldAge,455,0.75
temozolomide,Infant,172,0.3
temozolomide,Adult,172,1.0
temozolomide,OldAge,172,0.75
procarbazine,Infant,58,0.3
procarbazine,Adult,58,1.0
procarbazine,OldAge,58,0.75
lomustine,Infant,178,0.3
lomustine,Adult,178,1.0
lomustine,OldAge,178,0.75
thyroid desiccated,Infant,277,0.3
thyroid desiccated,Adult,277,1.0
thyroid desiccated,OldAge,277,0.75
sodium iodide-i-131,Infant,381,0.3
sodium iodide-i-131,Adult,381,1.0
sodium iodide-i-131,OldAge,381,0.75
thyrotropin alpha,Infant,293,0.3
thyrotropin alpha,Adult,293,1.0
thyrotropin alpha,OldAge,293,0.75
vandetanib,Infant,309,0.3
vandetanib,Adult,309,1.0
vandetanib,OldAge,309,0.75
dabrafenib,Infant,123,0.3
dabrafenib,Adult,123,1.0
dabrafenib,OldAge,123,0.75
trametinib,Infant,350,0.3
trametinib,Adult,350,1.0
trametinib,OldAge,350,0.75
mebendazole,Infant,165,0.3
mebendazole,Adult,165,1.0
mebendazole,OldAge,165,0.75
albendazole,Infant,144,0.3
albendazole,Adult,144,1.0
albendazole,OldAge,144,0.75
pyrantel,Infant,108,0.3
pyrantel,Adult,108,1.0
pyrantel,OldAge,108,0.75
finasteride,Infant,233,0.3
finasteride,Adult,233,1.0
finasteride,OldAge,233,0.75
ketoconazole,Infant,285,0.3
ketoconazole,Adult,285,1.0
ketoconazole,OldAge,285,0.75
epoetin alfa,Infant,359,0.3
epoetin alfa,Adult,359,1.0
epoetin alfa,OldAge,359,0.75
multivitamin with iron,Infant,59,0.3
multivitamin with iron,Adult,59,1.0
multivitamin with iron,OldAge,59,0.75
pyridoxine,Infant,225,0.3
pyridoxine,Adult,225,1.0
pyridoxine,OldAge,225,0.75
oxymetholone,Infant,97,0.3
oxymetholone,Adult,97,1.0
oxymetholone,OldAge,97,0.75
lenalidomide,Infant,195,0.3
lenalidomide,Adult,195,1.0
lenalidomide,OldAge,195,0.75
ferrous sulfate,Infant,385,0.3
ferrous sulfate,Adult,385,1.0
ferrous sulfate,OldAge,385,0.75
ferrous fumarate,Infant,449,0.3
ferrous fumarate,Adult,449,1.0
ferrous fumarate,OldAge,449,0.75
darbepoetin alfa,Infant,91,0.3
darbepoetin alfa,Adult,91,1.0
darbepoetin alfa,OldAge,91,0.75
ferrous gluconate,Infant,124,0.3
ferrous gluconate,Adult,124,1.0
ferrous gluconate,OldAge,124,0.75
epoetin beta-methoxy polyethylene glycol,Infant,344,0.3
epoetin beta-methoxy polyethylene glycol,Adult,344,1.0
epoetin beta-methoxy polyethylene glycol,OldAge,344,0.75
ferrous fumarate / folic acid,Infant,153,0.3
ferrous fumarate / folic acid,Adult,153,1.0
ferrous fumarate / folic acid,OldAge,153,0.75
iron polysaccharide,Infant,72,0.3
iron polysaccharide,Adult,72,1.0
iron polysaccharide,OldAge,72,0.75
ferumoxytol,Infant,451,0.3
ferumoxytol,Adult,451,1.0
ferumoxytol,OldAge,451,0.75
iron sucrose,Infant,399,0.3
iron sucrose,Adult,399,1.0
iron sucrose,OldAge,399,0.75
folic acid,Infant,179,0.3
folic acid,Adult,179,1.0
folic acid,OldAge,179,0.75
leucovorin,Infant,498,0.3
leucovorin,Adult,498,1.0
leucovorin,OldAge,498,0.75
glutamine,Infant,74,0.3
glutamine,Adult,74,1.0
glutamine,OldAge,74,0.75
crizanlizumab,Infant,357,0.3
crizanlizumab,Adult,357,1.0
crizanlizumab,OldAge,357,0.75
propofol,Infant,352,0.3
propofol,Adult,352,1.0
propofol,OldAge,352,0.75
lidocaine / prilocaine,Infant,332,0.3
lidocaine / prilocaine,Adult,332,1.0
lidocaine / prilocaine,OldAge,332,0.75
ketamine,Infant,347,0.3
ketamine,Adult,347,1.0
ketamine,OldAge,347,0.75
succinylcholine,Infant,68,0.3
succinylcholine,Adult,68,1.0
succinylcholine,OldAge,68,0.75
glycopyrrolate,Infant,162,0.3
glycopyrrolate,Adult,162,1.0
glycopyrrolate,OldAge,162,0.75
rocuronium,Infant,313,0.3
rocuronium,Adult,313,1.0
rocuronium,OldAge,313,0.75
etomidate,Infant,216,0.3
etomidate,Adult,216,1.0
etomidate,OldAge,216,0.75
vecuronium,Infant,449,0.3
vecuronium,Adult,449,1.0
vecuronium,OldAge,449,0.75
hyoscyamine,Infant,481,0.3
hyoscyamine,Adult,481,1.0
hyoscyamine,OldAge,481,0.75
cisatracurium,Infant,76,0.3
cisatracurium,Adult,76,1.0
cisatracurium,OldAge,76,0.75
hydromorphone,Infant,269,0.3
hydromorphone,Adult,269,1.0
hydromorphone,OldAge,269,0.75
atracurium,Infant,188,0.3
atracurium,Adult,188,1.0
atracurium,OldAge,188,0.75
butorphanol,Infant,404,0.3
butorphanol,Adult,404,1.0
butorphanol,OldAge,404,0.75
methohexital,Infant,367,0.3
methohexital,Adult,367,1.0
methohexital,OldAge,367,0.75
bisoprolol,Infant,365,0.3
bisoprolol,Adult,365,1.0
bisoprolol,OldAge,365,0.75
nifedipine,Infant,182,0.3
nifedipine,Adult,182,1.0
nifedipine,OldAge,182,0.75
interferon alfa-2b,Infant,435,0.3
interferon alfa-2b,Adult,435,1.0
interferon alfa-2b,OldAge,435,0.75
iohexol,Infant,102,0.3
iohexol,Adult,102,1.0
iohexol,OldAge,102,0.75
danazol,Infant,177,0.3
danazol,Adult,177,1.0
danazol,OldAge,177,0.75
gadobenate dimeglumine,Infant,262,0.3
gadobenate dimeglumine,Adult,262,1.0
gadobenate dimeglumine,OldAge,262,0.75
furosemide,Infant,453,0.3
furosemide,Adult,453,1.0
furosemide,OldAge,453,0.75
hydrochlorothiazide,Infant,290,0.3
hydrochlorothiazide,Adult,290,1.0
hydrochlorothiazide,OldAge,290,0.75
bumetanide,Infant,83,0.3
bumetanide,Adult,83,1.0
bumetanide,OldAge,83,0.75
metolazone,Infant,138,0.3
metolazone,Adult,138,1.0
metolazone,OldAge,138,0.75
torsemide,Infant,453,0.3
torsemide,Adult,453,1.0
torsemide,OldAge,453,0.75
hydrochlorothiazide / triamterene,Infant,124,0.3
hydrochlorothiazide / triamterene,Adult,124,1.0
hydrochlorothiazide / triamterene,OldAge,124,0.75
hydrochlorothiazide / spironolactone,Infant,205,0.3
hydrochlorothiazide / spironolactone,Adult,205,1.0
hydrochlorothiazide / spironolactone,OldAge,205,0.75
triamterene,Infant,391,0.3
triamterene,Adult,391,1.0
triamterene,OldAge,391,0.75
chlorthalidone,Infant,358,0.3
chlorthalidone,Adult,358,1.0
chlorthalidone,OldAge,358,0.75
acetazolamide,Infant,363,0.3
acetazolamide,Adult,363,1.0
acetazolamide,OldAge,363,0.75
celecoxib,Infant,187,0.3
celecoxib,Adult,187,1.0
celecoxib,OldAge,187,0.75
adalimumab,Infant,392,0.3
adalimumab,Adult,392,1.0
adalimumab,OldAge,392,0.75
infliximab,Infant,444,0.3
infliximab,Adult,444,1.0
infliximab,OldAge,444,0.75
chloramphenicol,Infant,384,0.3
chloramphenicol,Adult,384,1.0
chloramphenicol,OldAge,384,0.75
anthrax immune globulin intravenous,Infant,432,0.3
anthrax immune globulin intravenous,Adult,432,1.0
anthrax immune globulin intravenous,OldAge,432,0.75
anthrax vaccine adsorbed,Infant,165,0.3
anthrax vaccine adsorbed,Adult,165,1.0
anthrax vaccine adsorbed,OldAge,165,0.75
immune globulin intravenous,Infant,177,0.3
immune globulin intravenous,Adult,177,1.0
immune globulin intravenous,OldAge,177,0.75
fomepizole,Infant,162,0.3
fomepizole,Adult,162,1.0
fomepizole,OldAge,162,0.75
vancomycin,Infant,474,0.3
vancomycin,Adult,474,1.0
vancomycin,OldAge,474,0.75
physostigmine,Infant,201,0.3
physostigmine,Adult,201,1.0
physostigmine,OldAge,201,0.75
pralidoxime,Infant,457,0.3
pralidoxime,Adult,457,1.0
pralidoxime,OldAge,457,0.75
atropine,Infant,168,0.3
atropine,Adult,168,1.0
atropine,OldAge,168,0.75
heparin,Infant,408,0.3
heparin,Adult,408,1.0
heparin,OldAge,408,0.75
buspirone,Infant,165,0.3
buspirone,Adult,165,1.0
buspirone,OldAge,165,0.75
sildenafil,Infant,247,0.3
sildenafil,Adult,247,1.0
sildenafil,OldAge,247,0.75
amantadine,Infant,379,0.3
amantadine,Adult,379,1.0
amantadine,OldAge,379,0.75
warfarin,Infant,301,0.3
warfarin,Adult,301,1.0
warfarin,OldAge,301,0.75
antithrombin iii,Infant,79,0.3
antithrombin iii,Adult,79,1.0
antithrombin iii,OldAge,79,0.75
antithrombin (recombinant),Infant,443,0.3
antithrombin (recombinant),Adult,443,1.0
antithrombin (recombinant),OldAge,443,0.75
clonazepam,Infant,352,0.3
clonazepam,Adult,352,1.0
clonazepam,OldAge,352,0.75
alprazolam,Infant,252,0.3
alprazolam,Adult,252,1.0
alprazolam,OldAge,252,0.75
lorazepam,Infant,425,0.3
lorazepam,Adult,425,1.0
lorazepam,OldAge,425,0.75
escitalopram,Infant,301,0.3
escitalopram,Adult,301,1.0
escitalopram,OldAge,301,0.75
trazodone,Infant,329,0.3
trazodone,Adult,329,1.0
trazodone,OldAge,329,0.75
duloxetine,Infant,209,0.3
duloxetine,Adult,209,1.0
duloxetine,OldAge,209,0.75
mirtazapine,Infant,140,0.3
mirtazapine,Adult,140,1.0
mirtazapine,OldAge,140,0.75
quetiapine,Infant,450,0.3
quetiapine,Adult,450,1.0
quetiapine,OldAge,450,0.75
dipyridamole,Infant,148,0.3
dipyridamole,Adult,148,1.0
dipyridamole,OldAge,148,0.75
iodixanol,Infant,293,0.3
iodixanol,Adult,293,1.0
iodixanol,OldAge,293,0.75
dexmethylphenidate,Infant,152,0.3
dexmethylphenidate,Adult,152,1.0
dexmethylphenidate,OldAge,152,0.75
sargramostim,Infant,143,0.3
sargramostim,Adult,143,1.0
sargramostim,OldAge,143,0.75
"lymphocyte immune globulin, anti-thy (equine)",Infant,290,0.3
"lymphocyte immune globulin, anti-thy (equine)",Adult,290,1.0
"lymphocyte immune globulin, anti-thy (equine)",OldAge,290,0.75
eltrombopag,Infant,466,0.3
eltrombopag,Adult,466,1.0
eltrombopag,OldAge,466,0.75
caffeine,Infant,382,0.3
caffeine,Adult,382,1.0
caffeine,OldAge,382,0.75
carbamazepine,Infant,321,0.3
carbamazepine,Adult,321,1.0
carbamazepine,OldAge,321,0.75
amiodarone,Infant,255,0.3
amiodarone,Adult,255,1.0
amiodarone,OldAge,255,0.75
verapamil,Infant,361,0.3
verapamil,Adult,361,1.0
verapamil,OldAge,361,0.75
dofetilide,Infant,233,0.3
dofetilide,Adult,233,1.0
dofetilide,OldAge,233,0.75
mexiletine,Infant,329,0.3
mexiletine,Adult,329,1.0
mexiletine,OldAge,329,0.75
disopyramide,Infant,443,0.3
disopyramide,Adult,443,1.0
disopyramide,OldAge,443,0.75
quinidine,Infant,54,0.3
quinidine,Adult,54,1.0
quinidine,OldAge,54,0.75
procainamide,Infant,186,0.3
procainamide,Adult,186,1.0
procainamide,OldAge,186,0.75
dimercaprol,Infant,71,0.3
dimercaprol,Adult,71,1.0
dimercaprol,OldAge,71,0.75
rosuvastatin,Infant,68,0.3
rosuvastatin,Adult,68,1.0
rosuvastatin,OldAge,68,0.75
perindopril,Infant,458,0.3
perindopril,Adult,458,1.0
perindopril,OldAge,458,0.75
isoxsuprine,Infant,386,0.3
isoxsuprine,Adult,386,1.0
isoxsuprine,OldAge,386,0.75
hydroxychloroquine,Infant,317,0.3
hydroxychloroquine,Adult,317,1.0
hydroxychloroquine,OldAge,317,0.75
leflunomide,Infant,113,0.3
leflunomide,Adult,113,1.0
leflunomide,OldAge,113,0.75
acetaminophen / hydrocodone,Infant,424,0.3
acetaminophen / hydrocodone,Adult,424,1.0
acetaminophen / hydrocodone,OldAge,424,0.75
chondroitin / glucosamine,Infant,341,0.3
chondroitin / glucosamine,Adult,341,1.0
chondroitin / glucosamine,OldAge,341,0.75
etodolac,Infant,260,0.3
etodolac,Adult,260,1.0
etodolac,OldAge,260,0.75
mycophenolate mofetil,Infant,423,0.3
mycophenolate mofetil,Adult,423,1.0
mycophenolate mofetil,OldAge,423,0.75
amiloride,Infant,309,0.3
amiloride,Adult,309,1.0
amiloride,OldAge,309,0.75
ethacrynic acid,Infant,360,0.3
ethacrynic acid,Adult,360,1.0
ethacrynic acid,OldAge,360,0.75
alendronate,Infant,373,0.3
alendronate,Adult,373,1.0
alendronate,OldAge,373,0.75
itraconazole,Infant,297,0.3
itraconazole,Adult,297,1.0
itraconazole,OldAge,297,0.75
amphotericin b,Infant,178,0.3
amphotericin b,Adult,178,1.0
amphotericin b,OldAge,178,0.75
amphotericin b lipid complex,Infant,177,0.3
amphotericin b lipid complex,Adult,177,1.0
amphotericin b lipid complex,OldAge,177,0.75
voriconazole,Infant,111,0.3
voriconazole,Adult,111,1.0
voriconazole,OldAge,111,0.75
posaconazole,Infant,416,0.3
posaconazole,Adult,416,1.0
posaconazole,OldAge,416,0.75
caspofungin,Infant,227,0.3
caspofungin,Adult,227,1.0
caspofungin,OldAge,227,0.75
amphotericin b liposomal,Infant,418,0.3
amphotericin b liposomal,Adult,418,1.0
amphotericin b liposomal,OldAge,418,0.75
isavuconazonium,Infant,298,0.3
isavuconazonium,Adult,298,1.0
isavuconazonium,OldAge,298,0.75
ipratropium,Infant,294,0.3
ipratropium,Adult,294,1.0
ipratropium,OldAge,294,0.75
flunisolide,Infant,340,0.3
flunisolide,Adult,340,1.0
flunisolide,OldAge,340,0.75
formoterol / mometasone,Infant,463,0.3
formoterol / mometasone,Adult,463,1.0
formoterol / mometasone,OldAge,463,0.75
fluticasone / vilanterol,Infant,100,0.3
fluticasone / vilanterol,Adult,100,1.0
fluticasone / vilanterol,OldAge,100,0.75
ciclesonide,Infant,113,0.3
ciclesonide,Adult,113,1.0
ciclesonide,OldAge,113,0.75
fluticasone / salmeterol,Infant,155,0.3
fluticasone / salmeterol,Adult,155,1.0
fluticasone / salmeterol,OldAge,155,0.75
budesonide,Infant,64,0.3
budesonide,Adult,64,1.0
budesonide,OldAge,64,0.75
budesonide / formoterol,Infant,487,0.3
budesonide / formoterol,Adult,487,1.0
budesonide / formoterol,OldAge,487,0.75
beclomethasone,Infant,308,0.3
beclomethasone,Adult,308,1.0
beclomethasone,OldAge,308,0.75
calcium chloride,Infant,236,0.3
calcium chloride,Adult,236,1.0
calcium chloride,OldAge,236,0.75
clotrimazole,Infant,70,0.3
clotrimazole,Adult,70,1.0
clotrimazole,OldAge,70,0.75
terbinafine,Infant,216,0.3
terbinafine,Adult,216,1.0
terbinafine,OldAge,216,0.75
econazole,Infant,372,0.3
econazole,Adult,372,1.0
econazole,OldAge,372,0.75
betamethasone / clotrimazole,Infant,298,0.3
betamethasone / clotrimazole,Adult,298,1.0
betamethasone / clotrimazole,OldAge,298,0.75
tolnaftate,Infant,188,0.3
tolnaftate,Adult,188,1.0
tolnaftate,OldAge,188,0.75
ciclopirox,Infant,437,0.3
ciclopirox,Adult,437,1.0
ciclopirox,OldAge,437,0.75
miconazole,Infant,277,0.3
miconazole,Adult,277,1.0
miconazole,OldAge,277,0.75
griseofulvin,Infant,315,0.3
griseofulvin,Adult,315,1.0
griseofulvin,OldAge,315,0.75
halobetasol,Infant,166,0.3
halobetasol,Adult,166,1.0
halobetasol,OldAge,166,0.75
pimecrolimus,Infant,148,0.3
pimecrolimus,Adult,148,1.0
pimecrolimus,OldAge,148,0.75
alclometasone,Infant,434,0.3
alclometasone,Adult,434,1.0
alclometasone,OldAge,434,0.75
esmolol,Infant,406,0.3
esmolol,Adult,406,1.0
esmolol,OldAge,406,0.75
ibutilide,Infant,340,0.3
ibutilide,Adult,340,1.0
ibutilide,OldAge,340,0.75
adenosine,Infant,469,0.3
adenosine,Adult,469,1.0
adenosine,OldAge,469,0.75
estradiol,Infant,366,0.3
estradiol,Adult,366,1.0
estradiol,OldAge,366,0.75
conjugated estrogens,Infant,443,0.3
conjugated estrogens,Adult,443,1.0
conjugated estrogens,OldAge,443,0.75
estradiol / norethindrone,Infant,144,0.3
estradiol / norethindrone,Adult,144,1.0
estradiol / norethindrone,OldAge,144,0.75
ziprasidone,Infant,282,0.3
ziprasidone,Adult,282,1.0
ziprasidone,OldAge,282,0.75
paliperidone,Infant,104,0.3
paliperidone,Adult,104,1.0
paliperidone,OldAge,104,0.75
oseltamivir,Infant,198,0.3
oseltamivir,Adult,198,1.0
oseltamivir,OldAge,198,0.75
"influenza virus vaccine, h5n1",Infant,315,0.3
"influenza virus vaccine, h5n1",Adult,315,1.0
"influenza virus vaccine, h5n1",OldAge,315,0.75
tisagenlecleucel,Infant,179,0.3
tisagenlecleucel,Adult,179,1.0
tisagenlecleucel,OldAge,179,0.75
cyanocobalamin,Infant,257,0.3
cyanocobalamin,Adult,257,1.0
cyanocobalamin,OldAge,257,0.75
atovaquone,Infant,328,0.3
atovaquone,Adult,328,1.0
atovaquone,OldAge,328,0.75
tramadol,Infant,424,0.3
tramadol,Adult,424,1.0
tramadol,OldAge,424,0.75
amikacin,Infant,120,0.3
amikacin,Adult,120,1.0
amikacin,OldAge,120,0.75
cefepime,Infant,431,0.3
cefepime,Adult,431,1.0
cefepime,OldAge,431,0.75
ceftazidime,Infant,291,0.3
ceftazidime,Adult,291,1.0
ceftazidime,OldAge,291,0.75
gentamicin,Infant,304,0.3
gentamicin,Adult,304,1.0
gentamicin,OldAge,304,0.75
linezolid,Infant,327,0.3
linezolid,Adult,327,1.0
linezolid,OldAge,327,0.75
erythromycin,Infant,323,0.3
erythromycin,Adult,323,1.0
erythromycin,OldAge,323,0.75
tobramycin,Infant,354,0.3
tobramycin,Adult,354,1.0
tobramycin,OldAge,354,0.75
polymyxin b / trimethoprim,Infant,355,0.3
polymyxin b / trimethoprim,Adult,355,1.0
polymyxin b / trimethoprim,OldAge,355,0.75
dexamethasone / tobramycin,Infant,377,0.3
dexamethasone / tobramycin,Adult,377,1.0
dexamethasone / tobramycin,OldAge,377,0.75
bacitracin,Infant,168,0.3
bacitracin,Adult,168,1.0
bacitracin,OldAge,168,0.75
dexamethasone / neomycin / polymyxin b,Infant,302,0.3
dexamethasone / neomycin / polymyxin b,Adult,302,1.0
dexamethasone / neomycin / polymyxin b,OldAge,302,0.75
cefadroxil,Infant,194,0.3
cefadroxil,Adult,194,1.0
cefadroxil,OldAge,194,0.75
cefazolin,Infant,243,0.3
cefazolin,Adult,243,1.0
cefazolin,OldAge,243,0.75
bacitracin / neomycin / polymyxin b,Infant,395,0.3
bacitracin / neomycin / polymyxin b,Adult,395,1.0
bacitracin / neomycin / polymyxin b,OldAge,395,0.75
benzalkonium chloride / lidocaine,Infant,124,0.3
benzalkonium chloride / lidocaine,Adult,124,1.0
benzalkonium chloride / lidocaine,OldAge,124,0.75
bacitracin / polymyxin b,Infant,275,0.3
bacitracin / polymyxin b,Adult,275,1.0
bacitracin / polymyxin b,OldAge,275,0.75
hydrocortisone / neomycin / polymyxin b,Infant,127,0.3
hydrocortisone / neomycin / polymyxin b,Adult,127,1.0
hydrocortisone / neomycin / polymyxin b,OldAge,127,0.75
bacitracin / hydrocortisone / neomycin / polymyxin b,Infant,233,0.3
bacitracin / hydrocortisone / neomycin / polymyxin b,Adult,233,1.0
bacitracin / hydrocortisone / neomycin / polymyxin b,OldAge,233,0.75
fluocinolone / neomycin,Infant,366,0.3
fluocinolone / neomycin,Adult,366,1.0
fluocinolone / neomycin,OldAge,366,0.75
bacitracin / neomycin / polymyxin b / pramoxine,Infant,235,0.3
bacitracin / neomycin / polymyxin b / pramoxine,Adult,235,1.0
bacitracin / neomycin / polymyxin b / pramoxine,OldAge,235,0.75
neomycin / polymyxin b / pramoxine,Infant,235,0.3
neomycin / polymyxin b / pramoxine,Adult,235,1.0
neomycin / polymyxin b / pramoxine,OldAge,235,0.75
acetic acid,Infant,144,0.3
acetic acid,Adult,144,1.0
acetic acid,OldAge,144,0.75
secnidazole,Infant,468,0.3
secnidazole,Adult,468,1.0
secnidazole,OldAge,468,0.75
meclizine,Infant,390,0.3
meclizine,Adult,390,1.0
meclizine,OldAge,390,0.75
sincalide,Infant,322,0.3
sincalide,Adult,322,1.0
sincalide,OldAge,322,0.75
magnesium sulfate,Infant,377,0.3
magnesium sulfate,Adult,377,1.0
magnesium sulfate,OldAge,377,0.75
nebivolol,Infant,335,0.3
nebivolol,Adult,335,1.0
nebivolol,OldAge,335,0.75
nadolol,Infant,303,0.3
nadolol,Adult,303,1.0
nadolol,OldAge,303,0.75
labetalol,Infant,401,0.3
labetalol,Adult,401,1.0
labetalol,OldAge,401,0.75
rifampin,Infant,463,0.3
rifampin,Adult,463,1.0
rifampin,OldAge,463,0.75
imiquimod,Infant,106,0.3
imiquimod,Adult,106,1.0
imiquimod,OldAge,106,0.75
vismodegib,Infant,449,0.3
vismodegib,Adult,449,1.0
vismodegib,OldAge,449,0.75
sonidegib,Infant,221,0.3
sonidegib,Adult,221,1.0
sonidegib,OldAge,221,0.75
sumatriptan,Infant,78,0.3
sumatriptan,Adult,78,1.0
sumatriptan,OldAge,78,0.75
rizatriptan,Infant,213,0.3
rizatriptan,Adult,213,1.0
rizatriptan,OldAge,213,0.75
aspirin / butalbital / caffeine,Infant,415,0.3
aspirin / butalbital / caffeine,Adult,415,1.0
aspirin / butalbital / caffeine,OldAge,415,0.75
cyclobenzaprine,Infant,160,0.3
cyclobenzaprine,Adult,160,1.0
cyclobenzaprine,OldAge,160,0.75
naratriptan,Infant,230,0.3
naratriptan,Adult,230,1.0
naratriptan,OldAge,230,0.75
almotriptan,Infant,265,0.3
almotriptan,Adult,265,1.0
almotriptan,OldAge,265,0.75
zolmitriptan,Infant,380,0.3
zolmitriptan,Adult,380,1.0
zolmitriptan,OldAge,380,0.75
eletriptan,Infant,65,0.3
eletriptan,Adult,65,1.0
eletriptan,OldAge,65,0.75
collagenase,Infant,151,0.3
collagenase,Adult,151,1.0
collagenase,OldAge,151,0.75
becaplermin,Infant,258,0.3
becaplermin,Adult,258,1.0
