,Disease_name,Drug_name,absorption,solubility,toxicity,Due_to_Deficiency_of
4734,Diabetic Kidney Disease (Diabetic Nephropathy),ramipril,Moderate,Poorly soluble,Highly toxic,Erythropoietin
4735,Diabetic Kidney Disease (Diabetic Nephropathy),enalapril,Moderate,Sparingly soluble,Highly toxic,Erythropoietin
4736,Diabetic Kidney Disease (Diabetic Nephropathy),irbesartan,Moderate,Water-soluble,Mildly toxic,Erythropoietin
4737,Diabetic Kidney Disease (Diabetic Nephropathy),benazepril,Low,Water-soluble,Non-toxic,Erythropoietin
4738,Diabetic Kidney Disease (Diabetic Nephropathy),captopril,Moderate,Sparingly soluble,Non-toxic,Erythropoietin
4739,Diabetic Kidney Disease (Diabetic Nephropathy),quinapril,Moderate,Lipid-soluble,Non-toxic,Erythropoietin
4740,Diabetic Kidney Disease (Diabetic Nephropathy),perindopril,Low,Water-soluble,Mildly toxic,Erythropoietin
4741,Diabetic Kidney Disease (Diabetic Nephropathy),fosinopril,Low,Poorly soluble,Mildly toxic,Erythropoietin
4742,Diabetic Kidney Disease (Diabetic Nephropathy),moexipril,High,Poorly soluble,Mildly toxic,Erythropoietin
4743,Diabetic Kidney Disease (Diabetic Nephropathy),trandolapril,Low,Poorly soluble,Highly toxic,Erythropoietin
4744,Diabetic Kidney Disease (Diabetic Nephropathy),canagliflozin,High,Sparingly soluble,Non-toxic,Erythropoietin
4745,Diabetic Macular Edema,fluocinolone,High,Poorly soluble,Highly toxic,Electrolytes
4746,Diabetic Macular Edema,dexamethasone,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
4747,Diabetic Macular Edema,ranibizumab,Low,Lipid-soluble,Non-toxic,Electrolytes
4748,Diabetic Macular Edema,aflibercept,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
4749,Diabetic Kidney Disease (Diabetic Nephropathy),lisinopril,Moderate,Lipid-soluble,Non-toxic,Erythropoietin
4750,Diabetic Kidney Disease (Diabetic Nephropathy),losartan,Low,Lipid-soluble,Non-toxic,Erythropoietin
4751,Diabetic Kidney Disease (Diabetic Nephropathy),ramipril,High,Lipid-soluble,Mildly toxic,Erythropoietin
4752,Diabetic Kidney Disease (Diabetic Nephropathy),enalapril,Moderate,Sparingly soluble,Non-toxic,Erythropoietin
4753,Diabetic Kidney Disease (Diabetic Nephropathy),irbesartan,Low,Water-soluble,Non-toxic,Erythropoietin
4754,Diabetic Kidney Disease (Diabetic Nephropathy),benazepril,Low,Sparingly soluble,Highly toxic,Erythropoietin
4755,Diabetic Kidney Disease (Diabetic Nephropathy),captopril,Moderate,Water-soluble,Highly toxic,Erythropoietin
4756,Diabetic Kidney Disease (Diabetic Nephropathy),quinapril,Low,Lipid-soluble,Highly toxic,Erythropoietin
4757,Diabetic Kidney Disease (Diabetic Nephropathy),perindopril,Moderate,Sparingly soluble,Highly toxic,Erythropoietin
4758,Diabetic Kidney Disease (Diabetic Nephropathy),fosinopril,Low,Poorly soluble,Highly toxic,Erythropoietin
4759,Diabetic Kidney Disease (Diabetic Nephropathy),moexipril,High,Water-soluble,Mildly toxic,Erythropoietin
4760,Diabetic Kidney Disease (Diabetic Nephropathy),trandolapril,High,Poorly soluble,Non-toxic,Erythropoietin
4761,Diabetic Kidney Disease (Diabetic Nephropathy),canagliflozin,Low,Lipid-soluble,Mildly toxic,Erythropoietin
4762,Diabetic Peripheral Neuropathy,gabapentin,High,Lipid-soluble,Non-toxic,Electrolytes
4763,Diabetic Peripheral Neuropathy,pregabalin,Moderate,Water-soluble,Non-toxic,Electrolytes
4764,Diabetic Peripheral Neuropathy,duloxetine,High,Water-soluble,Non-toxic,Electrolytes
4765,Diabetic Peripheral Neuropathy,tapentadol,High,Poorly soluble,Highly toxic,Electrolytes
4766,Diabetic Peripheral Neuropathy,topiramate,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
4767,Diabetic Peripheral Neuropathy,capsaicin,Moderate,Water-soluble,Non-toxic,Electrolytes
4768,Diabetic Peripheral Neuropathy,nortriptyline,Moderate,Poorly soluble,Highly toxic,Electrolytes
4769,Diabetic Peripheral Neuropathy,carbamazepine,Low,Lipid-soluble,Non-toxic,Electrolytes
4770,Diabetic Peripheral Neuropathy,mexiletine,High,Sparingly soluble,Highly toxic,Electrolytes
4771,Dermal Ulcer,collagenase,Low,Lipid-soluble,Mildly toxic,Gastric Mucus
4772,Dermal Ulcer,becaplermin,High,Lipid-soluble,Mildly toxic,Gastric Mucus
4773,Dermal Ulcer,cadexomer iodine,High,Water-soluble,Non-toxic,Gastric Mucus
4774,Diabetic Peripheral Neuropathy,gabapentin,Low,Poorly soluble,Non-toxic,Electrolytes
4775,Diabetic Peripheral Neuropathy,pregabalin,Moderate,Sparingly soluble,Highly toxic,Electrolytes
4776,Diabetic Peripheral Neuropathy,duloxetine,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
4777,Diabetic Peripheral Neuropathy,tapentadol,Moderate,Sparingly soluble,Highly toxic,Electrolytes
4778,Diabetic Peripheral Neuropathy,topiramate,Low,Poorly soluble,Non-toxic,Electrolytes
4779,Diabetic Peripheral Neuropathy,capsaicin,Moderate,Lipid-soluble,Highly toxic,Electrolytes
4780,Diabetic Peripheral Neuropathy,nortriptyline,High,Sparingly soluble,Mildly toxic,Electrolytes
4781,Diabetic Peripheral Neuropathy,carbamazepine,Moderate,Poorly soluble,Mildly toxic,Electrolytes
4782,Diabetic Peripheral Neuropathy,mexiletine,Moderate,Water-soluble,Mildly toxic,Electrolytes
4783,Diabetic Retinopathy,ranibizumab,Low,Poorly soluble,Mildly toxic,Electrolytes
4784,Diabetic Retinopathy,aflibercept,High,Water-soluble,Mildly toxic,Electrolytes
4785,Diagnosis and Investigation,mannitol,Moderate,Sparingly soluble,Non-toxic,Electrolytes
4786,Diagnosis and Investigation,tuberculin purified protein derivative,High,Poorly soluble,Non-toxic,Electrolytes
4787,Diagnosis and Investigation,metyrapone,Low,Lipid-soluble,Mildly toxic,Electrolytes
4788,Diagnosis and Investigation,tetrofosmin,Moderate,Water-soluble,Mildly toxic,Electrolytes
4789,Diagnosis and Investigation,glucagon,High,Lipid-soluble,Highly toxic,Electrolytes
4790,Diagnosis and Investigation,regadenoson,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
4791,Diagnosis and Investigation,iobenguane I 123,Moderate,Water-soluble,Highly toxic,Electrolytes
4792,Diagnosis and Investigation,methacholine,High,Water-soluble,Non-toxic,Electrolytes
4793,Diagnosis and Investigation,sodium iodide-i-131,High,Sparingly soluble,Highly toxic,Electrolytes
4794,Diagnostic Bronchograms,acetylcysteine,Moderate,Water-soluble,Mildly toxic,Electrolytes
4795,Diaper Rash,zinc oxide,Low,Sparingly soluble,Non-toxic,Collagen Type I
4796,Diaper Rash,miconazole / zinc oxide,High,Lipid-soluble,Mildly toxic,Collagen Type I
4797,Diaper Rash,lanolin,High,Sparingly soluble,Highly toxic,Collagen Type I
4798,Diaper Rash,menthol / zinc oxide,Moderate,Poorly soluble,Mildly toxic,Collagen Type I
4799,Diaper Rash,vitamin a & d,Low,Sparingly soluble,Non-toxic,Collagen Type I
4800,Diaper Rash,"vitamins a, d, and e",High,Sparingly soluble,Non-toxic,Collagen Type I
4801,Diaper Rash,zinc oxide,Low,Water-soluble,Highly toxic,Collagen Type I
4802,Diaper Rash,miconazole / zinc oxide,Moderate,Sparingly soluble,Mildly toxic,Collagen Type I
4803,Diaper Rash,lanolin,Low,Poorly soluble,Highly toxic,Collagen Type I
4804,Diaper Rash,menthol / zinc oxide,Low,Sparingly soluble,Mildly toxic,Collagen Type I
4805,Diaper Rash,vitamin a & d,High,Poorly soluble,Non-toxic,Collagen Type I
4806,Diaper Rash,"vitamins a, d, and e",Moderate,Poorly soluble,Highly toxic,Collagen Type I
4807,Diaper Rash,zinc oxide,High,Sparingly soluble,Highly toxic,Collagen Type I
4808,Diaper Rash,miconazole / zinc oxide,Moderate,Sparingly soluble,Highly toxic,Collagen Type I
4809,Diaper Rash,lanolin,High,Water-soluble,Mildly toxic,Collagen Type I
4810,Diaper Rash,menthol / zinc oxide,High,Water-soluble,Non-toxic,Collagen Type I
4811,Diaper Rash,vitamin a & d,Moderate,Sparingly soluble,Mildly toxic,Collagen Type I
4812,Diaper Rash,"vitamins a, d, and e",Low,Poorly soluble,Mildly toxic,Collagen Type I
4813,Diaper Rash,zinc oxide,Low,Water-soluble,Mildly toxic,Collagen Type I
4814,Diaper Rash,miconazole / zinc oxide,Moderate,Poorly soluble,Mildly toxic,Collagen Type I
4815,Diaper Rash,lanolin,Moderate,Lipid-soluble,Non-toxic,Collagen Type I
4816,Diaper Rash,menthol / zinc oxide,Low,Water-soluble,Mildly toxic,Collagen Type I
4817,Diaper Rash,vitamin a & d,Moderate,Poorly soluble,Non-toxic,Collagen Type I
4818,Diaper Rash,"vitamins a, d, and e",Moderate,Water-soluble,Mildly toxic,Collagen Type I
4819,Diarrhea,loperamide,High,Poorly soluble,Mildly toxic,Electrolytes
4820,Diarrhea,atropine / diphenoxylate,Low,Poorly soluble,Mildly toxic,Electrolytes
4821,Diarrhea,bismuth subsalicylate,High,Lipid-soluble,Highly toxic,Electrolytes
4822,Diarrhea,codeine,Low,Water-soluble,Highly toxic,Electrolytes
4823,Diarrhea,saccharomyces boulardii lyo,High,Water-soluble,Non-toxic,Electrolytes
4824,Diarrhea,rifaximin,Moderate,Water-soluble,Non-toxic,Electrolytes
4825,Diarrhea,neomycin,High,Sparingly soluble,Mildly toxic,Electrolytes
4826,Diarrhea,octreotide,Low,Sparingly soluble,Mildly toxic,Electrolytes
4827,Diarrhea,opium,Low,Poorly soluble,Mildly toxic,Electrolytes
4828,"Diarrhea, Acute",loperamide,Moderate,Poorly soluble,Mildly toxic,Electrolytes
4829,"Diarrhea, Acute",loperamide / simethicone,High,Sparingly soluble,Mildly toxic,Electrolytes
4830,"Diarrhea, Acute",atropine / difenoxin,Moderate,Poorly soluble,Mildly toxic,Electrolytes
4831,Pseudomembranous Colitis,metronidazole,High,Poorly soluble,Highly toxic,Digestive Enzymes
4832,Pseudomembranous Colitis,vancomycin,High,Sparingly soluble,Non-toxic,Digestive Enzymes
4833,"Diarrhea, Chronic",loperamide,Low,Poorly soluble,Non-toxic,Electrolytes
4834,"Diarrhea, Chronic",colesevelam,Moderate,Poorly soluble,Mildly toxic,Electrolytes
4835,"Diarrhea, Chronic",bismuth subsalicylate,High,Poorly soluble,Non-toxic,Electrolytes
4836,"Diarrhea, Chronic",atropine / difenoxin,High,Lipid-soluble,Non-toxic,Electrolytes
4837,"Diarrhea, Acute",loperamide,High,Poorly soluble,Non-toxic,Electrolytes
4838,"Diarrhea, Acute",loperamide / simethicone,High,Water-soluble,Mildly toxic,Electrolytes
4839,"Diarrhea, Acute",atropine / difenoxin,High,Water-soluble,Mildly toxic,Electrolytes
4840,Bleeding Disorder,tranexamic acid,Low,Sparingly soluble,Non-toxic,Electrolytes
4841,Bleeding Disorder,goserelin,Low,Sparingly soluble,Mildly toxic,Electrolytes
4842,Bleeding Disorder,"dextran, high molecular weight",Moderate,Lipid-soluble,Mildly toxic,Electrolytes
4843,Bejel,penicillin g benzathine,High,Water-soluble,Mildly toxic,Electrolytes
4844,Dissociative Identity Disorder,sertraline,High,Sparingly soluble,Non-toxic,Electrolytes
4845,Dissociative Identity Disorder,venlafaxine,Moderate,Sparingly soluble,Highly toxic,Electrolytes
4846,Dissociative Identity Disorder,fluoxetine,High,Sparingly soluble,Non-toxic,Electrolytes
4847,Dissociative Identity Disorder,citalopram,High,Poorly soluble,Non-toxic,Electrolytes
4848,Dientamoeba fragilis,metronidazole,High,Lipid-soluble,Mildly toxic,Electrolytes
4849,Dientamoeba fragilis,paromomycin,Moderate,Water-soluble,Mildly toxic,Electrolytes
4850,Dientamoeba fragilis,metronidazole,Low,Sparingly soluble,Mildly toxic,Electrolytes
4851,Dientamoeba fragilis,paromomycin,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
4852,Dietary Fiber Supplementation,psyllium,Low,Lipid-soluble,Non-toxic,Electrolytes
4853,Dietary Supplementation,multivitamin,High,Lipid-soluble,Mildly toxic,Electrolytes
4854,Dietary Supplementation,biotin,Moderate,Lipid-soluble,Non-toxic,Electrolytes
4855,Dietary Supplementation,omega-3 polyunsaturated fatty acids,Moderate,Poorly soluble,Non-toxic,Electrolytes
4856,Dietary Supplementation,calcium / vitamin d,Low,Water-soluble,Highly toxic,Electrolytes
4857,Dietary Supplementation,vitamin e,High,Sparingly soluble,Non-toxic,Electrolytes
4858,Dietary Supplementation,calcium citrate,High,Water-soluble,Non-toxic,Electrolytes
4859,Dietary Supplementation,ascorbic acid,Moderate,Poorly soluble,Highly toxic,Electrolytes
4860,Dietary Supplementation,chondroitin / glucosamine,Low,Sparingly soluble,Non-toxic,Electrolytes
4861,Dietary Supplementation,bifidobacterium infantis / lactobacillus acidophilus,Low,Sparingly soluble,Non-toxic,Electrolytes
4862,Constipation,docusate,Low,Poorly soluble,Mildly toxic,Digestive Enzymes
4863,Constipation,polyethylene glycol 3350,Moderate,Sparingly soluble,Mildly toxic,Digestive Enzymes
4864,Constipation,bisacodyl,Low,Sparingly soluble,Non-toxic,Digestive Enzymes
4865,Constipation,magnesium oxide,High,Sparingly soluble,Non-toxic,Digestive Enzymes
4866,Constipation,magnesium citrate,Low,Lipid-soluble,Mildly toxic,Digestive Enzymes
4867,Constipation,psyllium,High,Lipid-soluble,Highly toxic,Digestive Enzymes
4868,Constipation,linaclotide,Moderate,Sparingly soluble,Non-toxic,Digestive Enzymes
4869,Constipation,magnesium hydroxide,Moderate,Water-soluble,Mildly toxic,Digestive Enzymes
4870,Insomnia,trazodone,Low,Poorly soluble,Non-toxic,Electrolytes
4871,Insomnia,zolpidem,Moderate,Water-soluble,Mildly toxic,Electrolytes
4872,Insomnia,temazepam,High,Poorly soluble,Mildly toxic,Electrolytes
4873,Insomnia,amitriptyline,High,Sparingly soluble,Mildly toxic,Electrolytes
4874,Insomnia,lorazepam,Low,Sparingly soluble,Mildly toxic,Electrolytes
4875,Insomnia,clonazepam,Low,Poorly soluble,Non-toxic,Electrolytes
4876,Insomnia,mirtazapine,High,Poorly soluble,Non-toxic,Electrolytes
4877,Insomnia,doxepin,Low,Water-soluble,Non-toxic,Electrolytes
4878,Insomnia,quetiapine,Moderate,Poorly soluble,Non-toxic,Electrolytes
4879,Insomnia,eszopiclone,Low,Poorly soluble,Mildly toxic,Electrolytes
4880,Insomnia,diphenhydramine,Moderate,Lipid-soluble,Non-toxic,Electrolytes
4881,Insomnia,gabapentin,Low,Water-soluble,Non-toxic,Electrolytes
4882,Insomnia,flurazepam,High,Poorly soluble,Non-toxic,Electrolytes
4883,Esophageal Spasm,isosorbide mononitrate,High,Lipid-soluble,Non-toxic,Electrolytes
4884,Esophageal Spasm,isosorbide dinitrate,Moderate,Water-soluble,Highly toxic,Electrolytes
4885,Diffuse Idiopathic Skeletal Hyperostosis,ibuprofen,High,Water-soluble,Non-toxic,Electrolytes
4886,Diffuse Idiopathic Skeletal Hyperostosis,naproxen,High,Sparingly soluble,Highly toxic,Electrolytes
4887,Diffuse Large B-Cell Lymphoma,prednisone,Low,Poorly soluble,Non-toxic,Electrolytes
4888,Diffuse Large B-Cell Lymphoma,cyclophosphamide,Low,Water-soluble,Mildly toxic,Electrolytes
4889,Diffuse Large B-Cell Lymphoma,rituximab,Low,Water-soluble,Highly toxic,Electrolytes
4890,Diffuse Large B-Cell Lymphoma,doxorubicin,Low,Lipid-soluble,Highly toxic,Electrolytes
4891,Diffuse Large B-Cell Lymphoma,vincristine,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
4892,Diffuse Large B-Cell Lymphoma,axicabtagene ciloleucel,Low,Water-soluble,Non-toxic,Electrolytes
4893,Diffuse Large B-Cell Lymphoma,hyaluronidase / rituximab,High,Sparingly soluble,Non-toxic,Electrolytes
4894,Diffuse Large B-Cell Lymphoma,tisagenlecleucel,Low,Water-soluble,Non-toxic,Electrolytes
4895,Diffuse Large B-Cell Lymphoma,polatuzumab vedotin,Moderate,Water-soluble,Non-toxic,Electrolytes
4896,Glomerulonephritis,azathioprine,Low,Water-soluble,Mildly toxic,Erythropoietin
4897,Glomerulonephritis,penicillin g benzathine,Moderate,Lipid-soluble,Highly toxic,Erythropoietin
4898,Digital Subtraction Angiography,iohexol,Low,Lipid-soluble,Mildly toxic,Electrolytes
4899,Digitalis Glycoside Toxicity,digoxin immune fab,Low,Poorly soluble,Non-toxic,Electrolytes
4900,Digitalis Glycoside Toxicity,digoxin immune fab,Low,Water-soluble,Non-toxic,Electrolytes
4901,Diphtheria,procaine penicillin,Low,Sparingly soluble,Mildly toxic,Electrolytes
4902,Diphtheria,penicillin g potassium,Low,Water-soluble,Non-toxic,Electrolytes
4903,Diphtheria,penicillin g sodium,Moderate,Sparingly soluble,Highly toxic,Electrolytes
4904,Diphtheria Prophylaxis,"diphtheria toxoid / pertussis, acellular / tetanus toxoid",Moderate,Sparingly soluble,Highly toxic,Electrolytes
4905,Diphtheria Prophylaxis,diphtheria toxoid / tetanus toxoid,High,Water-soluble,Mildly toxic,Electrolytes
4906,Diphtheria Prophylaxis,"diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",Moderate,Poorly soluble,Non-toxic,Electrolytes
4907,Diphtheria Prophylaxis,"diphtheria and tetanus toxoids / pertussis, acellular",Moderate,Water-soluble,Non-toxic,Electrolytes
4908,Diphtheria Prophylaxis,"diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",Moderate,Poorly soluble,Mildly toxic,Electrolytes
4909,Diphtheria Prophylaxis,"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",Moderate,Sparingly soluble,Non-toxic,Electrolytes
4910,Diphtheria Prophylaxis,"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine",High,Water-soluble,Mildly toxic,Electrolytes
4911,Fish Tapeworm Infection (Diphyllobothrium latum),praziquantel,High,Poorly soluble,Mildly toxic,Antibodies
4912,Fish Tapeworm Infection (Diphyllobothrium latum),paromomycin,Moderate,Sparingly soluble,Mildly toxic,Antibodies
4913,Fish Tapeworm Infection (Diphyllobothrium latum),praziquantel,Low,Water-soluble,Highly toxic,Antibodies
4914,Fish Tapeworm Infection (Diphyllobothrium latum),paromomycin,Moderate,Water-soluble,Non-toxic,Antibodies
4915,Dog Tapeworm Infection (Dipylidium caninum),praziquantel,Low,Poorly soluble,Highly toxic,Antibodies
4916,Dog Tapeworm Infection (Dipylidium caninum),paromomycin,Moderate,Poorly soluble,Non-toxic,Antibodies
4917,Eczema,triamcinolone,High,Water-soluble,Non-toxic,Collagen Type I
4918,Eczema,mometasone,Moderate,Water-soluble,Mildly toxic,Collagen Type I
4919,Eczema,hydrocortisone,Moderate,Poorly soluble,Highly toxic,Collagen Type I
4920,Eczema,clobetasol,Moderate,Water-soluble,Non-toxic,Collagen Type I
4921,Eczema,desonide,High,Sparingly soluble,Highly toxic,Collagen Type I
4922,Eczema,prednisone,Moderate,Poorly soluble,Highly toxic,Collagen Type I
4923,Eczema,fluocinonide,High,Water-soluble,Non-toxic,Collagen Type I
4924,Eczema,ranitidine,Low,Water-soluble,Highly toxic,Collagen Type I
4925,Eczema,desoximetasone,High,Lipid-soluble,Mildly toxic,Collagen Type I
4926,Eczema,methotrexate,High,Lipid-soluble,Highly toxic,Collagen Type I
4927,Eczema,halobetasol,Low,Water-soluble,Non-toxic,Collagen Type I
4928,Eczema,pimecrolimus,High,Water-soluble,Highly toxic,Collagen Type I
4929,Eczema,dexamethasone,High,Poorly soluble,Mildly toxic,Collagen Type I
4930,Eczema,fluocinolone,Moderate,Lipid-soluble,Mildly toxic,Collagen Type I
4931,Eczema,alclometasone,Moderate,Poorly soluble,Non-toxic,Collagen Type I
4932,Eczema,azathioprine,High,Sparingly soluble,Non-toxic,Collagen Type I
4933,Diffuse Idiopathic Skeletal Hyperostosis,ibuprofen,Moderate,Lipid-soluble,Non-toxic,Electrolytes
4934,Diffuse Idiopathic Skeletal Hyperostosis,naproxen,High,Sparingly soluble,Highly toxic,Electrolytes
4935,Muscle Pain,ibuprofen,Low,Poorly soluble,Highly toxic,Electrolytes
4936,Muscle Pain,naproxen,High,Lipid-soluble,Highly toxic,Electrolytes
4937,Muscle Pain,acetaminophen,Low,Poorly soluble,Non-toxic,Electrolytes
4938,Muscle Pain,diclofenac,High,Lipid-soluble,Non-toxic,Electrolytes
4939,Muscle Pain,nabumetone,Moderate,Poorly soluble,Mildly toxic,Electrolytes
4940,Schizophrenia,risperidone,Moderate,Poorly soluble,Highly toxic,Dopamine
4941,Schizophrenia,clozapine,High,Lipid-soluble,Highly toxic,Dopamine
4942,Schizophrenia,olanzapine,Low,Lipid-soluble,Non-toxic,Dopamine
4943,Schizophrenia,quetiapine,Low,Poorly soluble,Mildly toxic,Dopamine
4944,Schizophrenia,aripiprazole,Low,Water-soluble,Highly toxic,Dopamine
4945,Schizophrenia,chlorpromazine,High,Lipid-soluble,Non-toxic,Dopamine
4946,Schizophrenia,paliperidone,Low,Sparingly soluble,Highly toxic,Dopamine
4947,Schizophrenia,ziprasidone,High,Sparingly soluble,Mildly toxic,Dopamine
4948,Schizophrenia,loxapine,High,Poorly soluble,Non-toxic,Dopamine
4949,Systemic Lupus Erythematosus,hydroxychloroquine,Moderate,Water-soluble,Non-toxic,Electrolytes
4950,Systemic Lupus Erythematosus,prednisone,High,Sparingly soluble,Highly toxic,Electrolytes
4951,Systemic Lupus Erythematosus,azathioprine,Low,Water-soluble,Non-toxic,Electrolytes
4952,Systemic Lupus Erythematosus,aspirin,Low,Sparingly soluble,Highly toxic,Electrolytes
4953,Systemic Lupus Erythematosus,mycophenolate mofetil,High,Lipid-soluble,Mildly toxic,Electrolytes
4954,Systemic Lupus Erythematosus,triamcinolone,Low,Poorly soluble,Highly toxic,Electrolytes
4955,Systemic Lupus Erythematosus,belimumab,High,Lipid-soluble,Non-toxic,Electrolytes
4956,Systemic Lupus Erythematosus,dexamethasone,Moderate,Lipid-soluble,Non-toxic,Electrolytes
4957,"Tuberculosis, Extrapulmonary",prednisone,Low,Poorly soluble,Highly toxic,Electrolytes
4958,"Tuberculosis, Extrapulmonary",cycloserine,Low,Sparingly soluble,Mildly toxic,Electrolytes
4959,Dissociative Identity Disorder,sertraline,Moderate,Water-soluble,Highly toxic,Electrolytes
4960,Dissociative Identity Disorder,venlafaxine,High,Poorly soluble,Mildly toxic,Electrolytes
4961,Dissociative Identity Disorder,fluoxetine,High,Poorly soluble,Mildly toxic,Electrolytes
4962,Dissociative Identity Disorder,citalopram,High,Water-soluble,Highly toxic,Electrolytes
4963,Diverticulitis,metronidazole,High,Poorly soluble,Non-toxic,Electrolytes
4964,Diverticulitis,ciprofloxacin,Moderate,Water-soluble,Highly toxic,Electrolytes
4965,Diverticulitis,clindamycin,Moderate,Lipid-soluble,Non-toxic,Electrolytes
4966,Diverticulitis,sulfamethoxazole / trimethoprim,Moderate,Poorly soluble,Highly toxic,Electrolytes
4967,Vertigo,meclizine,Moderate,Lipid-soluble,Highly toxic,Electrolytes
4968,Vertigo,promethazine,Moderate,Sparingly soluble,Highly toxic,Electrolytes
4969,Osteoarthritis,meloxicam,Low,Sparingly soluble,Mildly toxic,Collagen Type I
4970,Osteoarthritis,diclofenac,Low,Water-soluble,Non-toxic,Collagen Type I
4971,Osteoarthritis,naproxen,High,Poorly soluble,Mildly toxic,Collagen Type I
4972,Osteoarthritis,ibuprofen,Moderate,Poorly soluble,Highly toxic,Collagen Type I
4973,Osteoarthritis,celecoxib,Moderate,Poorly soluble,Non-toxic,Collagen Type I
4974,Osteoarthritis,chondroitin / glucosamine,Low,Lipid-soluble,Non-toxic,Collagen Type I
4975,Osteoarthritis,diclofenac,Moderate,Sparingly soluble,Highly toxic,Collagen Type I
4976,Osteoarthritis,etodolac,Low,Sparingly soluble,Non-toxic,Collagen Type I
4977,Osteoarthritis,prednisone,High,Lipid-soluble,Mildly toxic,Collagen Type I
4978,Osteoarthritis,aspirin,Moderate,Poorly soluble,Highly toxic,Collagen Type I
4979,Osteoarthritis,nabumetone,Moderate,Lipid-soluble,Highly toxic,Collagen Type I
4980,Osteoarthritis,duloxetine,High,Water-soluble,Highly toxic,Collagen Type I
4981,Diabetic Ketoacidosis,sodium bicarbonate,High,Water-soluble,Mildly toxic,Electrolytes
4982,Diabetic Ketoacidosis,insulin regular,Low,Sparingly soluble,Highly toxic,Electrolytes
4983,Diabetic Ketoacidosis,insulin lispro,Moderate,Water-soluble,Mildly toxic,Electrolytes
4984,Diabetic Ketoacidosis,insulin aspart,Low,Sparingly soluble,Mildly toxic,Electrolytes
4985,Diabetic Ketoacidosis,insulin glulisine,High,Sparingly soluble,Mildly toxic,Electrolytes
4986,Lewy Body Dementia,donepezil,Low,Poorly soluble,Mildly toxic,Acetylcholine
4987,Lewy Body Dementia,rivastigmine,Moderate,Water-soluble,Non-toxic,Acetylcholine
4988,Diffuse Large B-Cell Lymphoma,prednisone,High,Lipid-soluble,Non-toxic,Electrolytes
4989,Diffuse Large B-Cell Lymphoma,cyclophosphamide,Moderate,Sparingly soluble,Highly toxic,Electrolytes
4990,Diffuse Large B-Cell Lymphoma,rituximab,Moderate,Water-soluble,Mildly toxic,Electrolytes
4991,Diffuse Large B-Cell Lymphoma,doxorubicin,Low,Lipid-soluble,Non-toxic,Electrolytes
4992,Diffuse Large B-Cell Lymphoma,vincristine,Low,Sparingly soluble,Highly toxic,Electrolytes
4993,Diffuse Large B-Cell Lymphoma,axicabtagene ciloleucel,Moderate,Lipid-soluble,Non-toxic,Electrolytes
4994,Diffuse Large B-Cell Lymphoma,hyaluronidase / rituximab,High,Lipid-soluble,Highly toxic,Electrolytes
4995,Diffuse Large B-Cell Lymphoma,tisagenlecleucel,Moderate,Sparingly soluble,Highly toxic,Electrolytes
4996,Diffuse Large B-Cell Lymphoma,polatuzumab vedotin,Moderate,Poorly soluble,Non-toxic,Electrolytes
4997,Diabetic Macular Edema,fluocinolone,Low,Poorly soluble,Highly toxic,Electrolytes
4998,Diabetic Macular Edema,dexamethasone,High,Lipid-soluble,Highly toxic,Electrolytes
4999,Diabetic Macular Edema,ranibizumab,High,Water-soluble,Highly toxic,Electrolytes
5000,Diabetic Macular Edema,aflibercept,Low,Water-soluble,Non-toxic,Electrolytes
5001,Dog Tapeworm Infection (Dipylidium caninum),praziquantel,High,Sparingly soluble,Non-toxic,Antibodies
5002,Dog Tapeworm Infection (Dipylidium caninum),paromomycin,Moderate,Water-soluble,Non-toxic,Antibodies
5003,Submental Fullness,deoxycholic acid,Low,Water-soluble,Non-toxic,Electrolytes
5004,Diabetic Peripheral Neuropathy,gabapentin,High,Lipid-soluble,Highly toxic,Electrolytes
5005,Diabetic Peripheral Neuropathy,pregabalin,Low,Water-soluble,Highly toxic,Electrolytes
5006,Diabetic Peripheral Neuropathy,duloxetine,High,Lipid-soluble,Mildly toxic,Electrolytes
5007,Diabetic Peripheral Neuropathy,tapentadol,Moderate,Poorly soluble,Highly toxic,Electrolytes
5008,Diabetic Peripheral Neuropathy,topiramate,Moderate,Poorly soluble,Non-toxic,Electrolytes
5009,Diabetic Peripheral Neuropathy,capsaicin,Moderate,Lipid-soluble,Highly toxic,Electrolytes
5010,Diabetic Peripheral Neuropathy,nortriptyline,High,Sparingly soluble,Non-toxic,Electrolytes
5011,Diabetic Peripheral Neuropathy,carbamazepine,Moderate,Poorly soluble,Non-toxic,Electrolytes
