Drug_name,Side_Effect_Probability(%)
menotropins,
menthol,70.0
menthol / zinc oxide,40.0
meperidine,30.0
mepivacaine,30.0
mepolizumab,70.0
mercaptopurine,50.0
meropenem,50.0
mesalamine,46.0
mesna,30.0
metaxalone,40.0
metformin,52.857142857142854
metformin / sitagliptin,43.333333333333336
methacholine,
methadone,43.333333333333336
methamphetamine,43.333333333333336
methazolamide,
methenamine,48.18181818181818
methimazole,70.0
methocarbamol,50.0
methohexital,
methotrexate,50.44444444444444
methoxsalen,56.666666666666664
methscopolamine,50.0
methyl aminolevulinate,30.0
methyldopa,70.0
methylene blue,30.0
methylergonovine,
methylnaltrexone,50.0
methylphenidate,56.666666666666664
methylprednisolone,44.73684210526316
methyltestosterone,38.0
metoclopramide,47.142857142857146
metolazone,70.0
metoprolol,50.645161290322584
metreleptin,70.0
metronidazole,47.241379310344826
metyrapone,30.0
metyrosine,70.0
mexiletine,50.0
micafungin,40.0
miconazole,50.689655172413794
miconazole / zinc oxide,40.0
midazolam,43.333333333333336
midodrine,56.666666666666664
midostaurin,50.0
mifepristone,50.0
migalastat,
miglustat,70.0
milnacipran,50.0
miltefosine,30.0
minocycline,50.57142857142857
minoxidil,43.333333333333336
mirabegron,50.0
mirtazapine,55.0
misoprostol,60.0
mitomycin,50.0
mitotane,30.0
mitoxantrone,58.57142857142857
modafinil,46.0
moexipril,38.0
mogamulizumab,
mometasone,51.53846153846154
montelukast,45.38461538461539
morphine,70.0
moxetumomab pasudotox,70.0
moxidectin,70.0
moxifloxacin,52.608695652173914
multivitamin,50.0
multivitamin with iron,30.0
multivitamin with minerals,30.0
"multivitamin, prenatal",
mumps virus vaccine,30.0
mupirocin,46.0
muromonab-cd3,70.0
mycophenolate mofetil,55.714285714285715
mycophenolic acid,70.0
nabilone,70.0
nabumetone,49.25925925925926
nadolol,55.714285714285715
nafarelin,70.0
naldemedine,70.0
naloxegol,54.0
naloxone,50.0
naltrexone,50.0
naphazoline,70.0
naphazoline / pheniramine,70.0
naproxen,53.42857142857143
naproxen / pseudoephedrine,70.0
naratriptan,54.0
natalizumab,
natamycin,30.0
nebivolol,38.0
nedocromil,70.0
nelarabine,50.0
neomycin,58.57142857142857
neomycin / polymyxin b / pramoxine,50.0
neostigmine,70.0
nepafenac,70.0
neratinib,
nevirapine,30.0
niacin,42.0
niacinamide,50.0
nicotine,70.0
nifedipine,50.0
nilotinib,70.0
nimodipine,46.0
nintedanib,70.0
niraparib,56.666666666666664
nisoldipine,56.666666666666664
nitazoxanide,52.857142857142854
nitisinone,30.0
nitric oxide,
nitrofurantoin,47.77777777777778
nitroglycerin,56.666666666666664
nitroprusside,30.0
nivolumab,55.45454545454545
norepinephrine,56.666666666666664
norethindrone,50.0
nortriptyline,48.94736842105263
nusinersen,70.0
nystatin,51.81818181818182
nystatin / triamcinolone,56.666666666666664
obeticholic acid,70.0
obinutuzumab,50.0
ocriplasmin,
octreotide,51.81818181818182
ofatumumab,50.0
ofloxacin,54.61538461538461
olanzapine,44.54545454545455
olaparib,54.0
olaratumab,54.0
olmesartan,30.0
olodaterol,56.666666666666664
olodaterol / tiotropium,43.333333333333336
olopatadine,
olsalazine,70.0
omacetaxine,30.0
omalizumab,50.0
omega-3 polyunsaturated fatty acids,56.666666666666664
omeprazole,56.0
omeprazole / sodium bicarbonate,55.0
onabotulinumtoxinA,48.333333333333336
onasemnogene abeparvovec,30.0
ondansetron,51.53846153846154
"ophthalmic irrigation, intraocular",30.0
opium,43.333333333333336
orlistat,46.0
orphenadrine,60.0
oseltamivir,50.0
ospemifene,70.0
oxacillin,50.0
oxaliplatin,62.0
oxandrolone,40.0
oxaprozin,
oxazepam,56.666666666666664
oxcarbazepine,51.666666666666664
oxybutynin,43.333333333333336
oxycodone,70.0
oxymetazoline,30.0
oxymetholone,
oxymorphone,70.0
oxytocin,50.0
ozenoxacin,
paclitaxel,59.333333333333336
paclitaxel protein-bound,30.0
palbociclib,56.666666666666664
palifermin,70.0
paliperidone,44.11764705882353
palivizumab,30.0
palonosetron,30.0
pamabrom,50.0
pamidronate,56.666666666666664
pancreatin,54.0
pancrelipase,70.0
panitumumab,60.0
pantoprazole,44.11764705882353
papaverine,43.333333333333336
parathyroid hormone,
parenteral nutrition solution,40.0
parenteral nutrition solution w / electrolytes,50.0
paricalcitol,
paromomycin,47.5
paroxetine,52.0
pasireotide,30.0
patiromer,
patisiran,30.0
pazopanib,52.857142857142854
pegademase bovine,70.0
pegaptanib,30.0
pegaspargase,70.0
pegfilgrastim,30.0
peginterferon alfa-2a,70.0
peginterferon alfa-2b,58.0
pegloticase,30.0
pegvaliase,70.0
pegvisomant,70.0
pembrolizumab,49.130434782608695
pemetrexed,46.0
penciclovir,50.0
penicillamine,30.0
penicillin g benzathine,54.0
penicillin g benzathine / procaine penicillin,30.0
penicillin g potassium,50.95238095238095
penicillin g sodium,44.11764705882353
penicillin v potassium,55.714285714285715
pentamidine,50.0
pentetate calcium trisodium,70.0
pentetate zinc trisodium,70.0
pentobarbital,
pentosan polysulfate sodium,30.0
pentostatin,43.333333333333336
pentoxifylline,30.0
peramivir,36.666666666666664
perflutren,50.0
perindopril,54.0
permethrin,52.857142857142854
perphenazine,30.0
pexidartinib,
phenazopyridine,50.0
phendimetrazine,
phenobarbital,50.0
phenol,
phenoxybenzamine,30.0
phentermine,70.0
phentermine / topiramate,43.333333333333336
phentolamine,30.0
phenylephrine,45.0
phenytoin,48.18181818181818
physostigmine,70.0
phytonadione,50.0
pilocarpine,60.0
pimavanserin,
pimecrolimus,56.666666666666664
pimozide,70.0
pioglitazone,54.0
piperacillin,40.0
piperacillin / tazobactam,45.0
piperonyl butoxide / pyrethrins,56.666666666666664
pirfenidone,70.0
piroxicam,30.0
pitavastatin,70.0
plecanatide,43.333333333333336
pneumococcal 13-valent vaccine,70.0
pneumococcal 23-polyvalent vaccine,70.0
podofilox,70.0
podophyllum resin,50.0
polatuzumab vedotin,
polidocanol,
"poliovirus vaccine, inactivated",70.0
poly-l-lactic acid,70.0
poly-ureaurethane,70.0
polyethylene glycol 3350,56.666666666666664
polyethylene glycol 3350 with electrolytes,30.0
polymyxin b / trimethoprim,50.0
pomalidomide,43.333333333333336
ponatinib,62.0
poractant,56.666666666666664
porfimer,30.0
posaconazole,50.0
potassium acid phosphate,
potassium bicarbonate,
potassium bicarbonate / potassium chloride,30.0
potassium chloride,30.0
potassium citrate,56.666666666666664
potassium gluconate,50.0
potassium iodide,30.0
potassium phosphate,30.0
potassium phosphate / sodium phosphate,70.0
povidone iodine,
prabotulinumtoxinA,30.0
pralatrexate,70.0
pralidoxime,30.0
pramipexole,58.57142857142857
pramoxine,70.0
pramoxine / zinc acetate,56.666666666666664
prasugrel,70.0
pravastatin,50.0
praziquantel,51.666666666666664
prazosin,50.0
prednisolone,44.285714285714285
prednisolone / sulfacetamide sodium,56.666666666666664
prednisone,53.60655737704918
pregabalin,50.0
pretomanid,
primaquine,60.0
primidone,40.0
probenecid,50.0
procainamide,50.0
procaine penicillin,56.666666666666664
procarbazine,58.57142857142857
prochlorperazine,70.0
progesterone,53.333333333333336
promethazine,53.529411764705884
propafenone,52.857142857142854
propantheline,70.0
proparacaine,
propofol,70.0
propranolol,50.0
propylthiouracil,70.0
protamine,30.0
protein c,30.0
prothrombin complex,30.0
prucalopride,43.333333333333336
prussian blue,
pseudoephedrine,70.0
pseudoephedrine / triprolidine,50.0
psyllium,46.0
pyrantel,50.0
pyrazinamide,30.0
pyridostigmine,56.666666666666664
pyridoxine,50.0
pyrimethamine,40.0
pyrithione zinc,30.0
quetiapine,53.829787234042556
quinapril,50.0
quinidine,56.666666666666664
rabeprazole,55.45454545454545
"rabies immune globulin, human",30.0
"rabies vaccine, human diploid cell",70.0
"rabies vaccine, purified chick embryo cell",30.0
raloxifene,60.0
raltegravir,30.0
ramipril,58.57142857142857
ramucirumab,62.0
ranibizumab,46.0
ranitidine,50.0
ranolazine,54.0
rasagiline,70.0
rasburicase,70.0
ravulizumab,
regadenoson,30.0
regorafenib,42.0
resorcinol,30.0
retapamulin,30.0
rho (d) immune globulin,50.0
ribavirin,43.333333333333336
riboflavin,
rifabutin,30.0
rifampin,44.54545454545455
rifapentine,70.0
rifaximin,47.142857142857146
rilonacept,46.0
riluzole,56.666666666666664
rimabotulinumtoxinB,43.333333333333336
rimantadine,70.0
riociguat,70.0
risedronate,70.0
risperidone,50.0
ritonavir,38.888888888888886
rituximab,53.63636363636363
rivaroxaban,47.77777777777778
rivastigmine,46.0
rizatriptan,50.0
rocuronium,30.0
roflumilast,50.0
romidepsin,36.666666666666664
romiplostim,30.0
ropinirole,56.666666666666664
ropivacaine,30.0
rosiglitazone,40.0
rosuvastatin,58.96551724137931
rotavirus vaccine,30.0
rotigotine,56.666666666666664
rubidium chloride rb-82,50.0
rufinamide,70.0
ruxolitinib,61.111111111111114
saccharomyces boulardii lyo,70.0
sacrosidase,30.0
salicylic acid,46.0
salicylic acid / sulfur,30.0
salicylic acid / urea,30.0
saliva substitutes,70.0
salmeterol,30.0
sapropterin,70.0
sargramostim,54.0
scopolamine,46.0
sebelipase alfa,
secnidazole,70.0
secobarbital,
secukinumab,70.0
selegiline,30.0
selenium,30.0
selenium sulfide,56.666666666666664
semaglutide,70.0
sertraline,54.0
sevelamer,70.0
sildenafil,52.857142857142854
silodosin,50.0
siltuximab,50.0
silver,70.0
silver nitrate,50.0
silver sulfadiazine,30.0
simethicone,50.0
simvastatin,54.34782608695652
sincalide,50.0
sinecatechins,56.666666666666664
sirolimus,30.0
sitagliptin,30.0
smallpox and monkeypox vaccine,50.0
smallpox vaccine,30.0
sodium acetate,30.0
sodium benzoate / sodium phenylacetate,30.0
sodium bicarbonate,51.81818181818182
sodium chloride,55.0
sodium chondroitin sulfate / sodium hyaluronate,30.0
sodium hyaluronate,30.0
sodium hypochlorite,70.0
sodium iodide-i-131,43.333333333333336
sodium nitrite,30.0
sodium nitrite / sodium thiosulfate,70.0
sodium oxybate,40.0
sodium phenylbutyrate,70.0
sodium phosphate,
sodium polystyrene sulfonate,70.0
sodium tetradecyl sulfate,
sodium thiosulfate,70.0
sodium zirconium cyclosilicate,70.0
sofosbuvir,43.333333333333336
sofosbuvir / velpatasvir,70.0
sofosbuvir / velpatasvir / voxilaprevir,70.0
solifenacin,36.666666666666664
solriamfetol,50.0
somatropin,62.0
sonidegib,50.0
sorafenib,38.888888888888886
sotalol,56.666666666666664
spinosad,50.0
spironolactone,53.333333333333336
sterile talc,70.0
stiripentol,50.0
streptomycin,55.0
streptozocin,40.0
succimer,70.0
succinylcholine,
sucralfate,35.0
sucroferric oxyhydroxide,30.0
sugammadex,70.0
sulconazole,30.0
sulfacetamide sodium,30.0
sulfacetamide sodium / sulfur,30.0
sulfadiazine,
sulfamethoxazole / trimethoprim,50.95238095238095
sulfasalazine,47.5
sulindac,58.0
sumatriptan,46.0
sunitinib,43.333333333333336
tacrolimus,48.18181818181818
tadalafil,50.0
tafamidis,30.0
tafenoquine,30.0
tafluprost,50.0
taliglucerase alfa,70.0
talimogene laherparepvec,46.0
tamoxifen,61.111111111111114
tamsulosin,45.0
tapentadol,70.0
tasimelteon,
tavaborole,50.0
tazarotene,47.142857142857146
tazemetostat,70.0
tbo-filgrastim,70.0
tecovirimat,70.0
teduglutide,30.0
tegaserod,30.0
telmisartan,30.0
telotristat,
temazepam,43.333333333333336
temozolomide,56.666666666666664
temsirolimus,40.0
teniposide,50.0
tenofovir,51.81818181818182
tenofovir alafenamide,50.0
teprotumumab,
terazosin,45.0
terbinafine,51.46341463414634
terbutaline,60.0
terconazole,43.333333333333336
teriflunomide,30.0
teriparatide,30.0
tesamorelin,
testosterone,43.333333333333336
tetanus immune globulin,50.0
tetrabenazine,70.0
tetracaine,43.333333333333336
tetracycline,50.869565217391305
tetrahydrozoline,30.0
tetrahydrozoline / zinc sulfate,
tetrofosmin,30.0
thalidomide,50.0
theophylline,62.0
thiamine,38.0
thioguanine,
thiotepa,56.666666666666664
thiothixene,
thrombin,70.0
thyroid desiccated,56.666666666666664
thyrotropin alpha,30.0
ticagrelor,30.0
ticlopidine,70.0
tigecycline,
timolol,30.0
tinidazole,50.0
tioconazole,50.0
tiopronin,
tiotropium,50.0
tipiracil / trifluridine,30.0
tirofiban,70.0
tisagenlecleucel,70.0
tizanidine,40.0
tobramycin,52.857142857142854
tocilizumab,38.888888888888886
tolmetin,70.0
tolnaftate,51.05263157894737
tolterodine,46.0
tolvaptan,50.0
topiramate,58.0
topotecan,34.44444444444444
torsemide,45.0
trabectedin,70.0
trace elements,56.666666666666664
tramadol,50.0
trametinib,30.0
trandolapril,46.0
tranexamic acid,55.0
trastuzumab,61.111111111111114
travoprost,50.0
trazodone,47.5
treprostinil,56.666666666666664
tretinoin,50.0
triamcinolone,49.25925925925926
triamterene,70.0
triclabendazole,
trientine,70.0
trifluridine,50.0
trihexyphenidyl,30.0
trimethoprim,50.0
triprolidine,50.0
triptorelin,50.0
trolamine salicylate,55.0
tropicamide,56.666666666666664
trospium,47.77777777777778
trypan blue,70.0
tuberculin purified protein derivative,
"typhoid vaccine, inactivated",
"typhoid vaccine, live",70.0
ulipristal,50.0
umeclidinium,46.0
umeclidinium / vilanterol,56.666666666666664
undecylenic acid,40.0
urea,46.0
uridine,30.0
urofollitropin,30.0
urokinase,48.18181818181818
ursodiol,54.0
ustekinumab,50.0
valacyclovir,52.22222222222222
valbenazine,30.0
valganciclovir,56.666666666666664
valproic acid,52.857142857142854
valrubicin,70.0
valsartan,50.0
vancomycin,50.95238095238095
vandetanib,70.0
vardenafil,56.666666666666664
varenicline,30.0
varicella virus vaccine,
varicella zoster immune globulin,50.0
vasopressin,54.0
vecuronium,
vedolizumab,50.0
velaglucerase alfa,
vemurafenib,
venetoclax,63.333333333333336
venlafaxine,50.40816326530612
verapamil,70.0
verteporfin,70.0
vestronidase alfa,70.0
vinblastine,50.0
vincristine,51.81818181818182
vincristine liposome,70.0
vismodegib,62.0
vitamin a,
vitamin a & d,41.42857142857143
vitamin e,48.18181818181818
"vitamins a, d, and e",43.333333333333336
von willebrand factor,
vorapaxar,30.0
voretigene neparvovec,30.0
voriconazole,42.0
vorinostat,70.0
warfarin,44.73684210526316
xylometazoline,50.0
yellow fever vaccine,
zanamivir,60.0
zanubrutinib,
zidovudine,43.333333333333336
zinc acetate,70.0
zinc oxide,52.857142857142854
zinc sulfate,
ziprasidone,44.11764705882353
zoledronic acid,58.57142857142857
zolmitriptan,43.333333333333336
zolpidem,50.0
zonisamide,47.77777777777778
zoster vaccine live,70.0
"zoster vaccine, inactivated",70.0
