Drug,Infant_mg,Adult_mg,OldAge_mg
podofilox,1780,9050,7190
sinecatechins,1782,9060,7198
interferon alfa-n3,1784,9070,7206
fibrinogen,1786,9080,7214
procaine penicillin,1788,9090,7222
sulfacetamide sodium,1790,9100,7230
loteprednol,1792,9110,7238
gatifloxacin,1794,9120,7246
lodoxamide,1796,9130,7254
docusate,1798,9140,7262
magnesium citrate,1800,9150,7270
psyllium,1802,9160,7278
linaclotide,1804,9170,7286
magnesium hydroxide,1806,9180,7294
lactulose,1808,9190,7302
docusate / senna,1810,9200,7310
lubiprostone,1812,9210,7318
methylnaltrexone,1814,9220,7326
tegaserod,1816,9230,7334
naloxegol,1818,9240,7342
naldemedine,1820,9250,7350
nitroprusside,1822,9260,7358
cysteamine,1824,9270,7366
ketorolac,1826,9280,7374
riboflavin,1828,9290,7382
brompheniramine / dextromethorphan / pseudoephedrine,1830,9300,7390
guaifenesin / pseudoephedrine,1832,9310,7398
dextromethorphan / guaifenesin / phenylephrine,1834,9320,7406
guaifenesin / phenylephrine,1836,9330,7414
chlorpheniramine / hydrocodone / pseudoephedrine,1838,9340,7422
codeine / phenylephrine / promethazine,1840,9350,7430
cholestyramine,1842,9360,7438
vedolizumab,1844,9370,7446
rifaximin,1846,9380,7454
certolizumab,1848,9390,7462
ustekinumab,1850,9400,7470
natalizumab,1852,9410,7478
corticorelin,1854,9420,7486
avelumab,1856,9430,7494
miltefosine,1858,9440,7502
potassium iodide,1860,9450,7510
pramoxine / zinc acetate,1862,9460,7518
benzethonium chloride,1864,9470,7526
hydroxocobalamin,1866,9480,7534
sodium nitrite / sodium thiosulfate,1868,9490,7542
amyl nitrite,1870,9500,7550
sodium thiosulfate,1872,9510,7558
sodium nitrite,1874,9520,7566
loteprednol / tobramycin,1876,9530,7574
dornase alfa,1878,9540,7582
ivacaftor,1880,9550,7590
aztreonam,1882,9560,7598
ivacaftor / lumacaftor,1884,9570,7606
tiopronin,1886,9580,7614
penicillamine,1888,9590,7622
pyrithione zinc,1890,9600,7630
salicylic acid / sulfur,1892,9610,7638
selenium sulfide,1894,9620,7646
solriamfetol,1896,9630,7654
dalteparin,1898,9640,7662
desirudin,1900,9650,7670
lvp solution,1902,9660,7678
trifluridine,1904,9670,7686
hydrogen peroxide,1906,9680,7694
brexanolone,1908,9690,7702
phentolamine,1910,9700,7710
miconazole / zinc oxide,1912,9710,7718
lanolin,1914,9720,7726
menthol / zinc oxide,1916,9730,7734
"vitamins a, d, and e",1918,9740,7742
balsam peru / castor oil / trypsin,1920,9750,7750
sodium hyaluronate,1922,9760,7758
balsam peru / castor oil,1924,9770,7766
hydroquinone,1926,9780,7774
urea,1928,9790,7782
hydrocortisone / pramoxine,1930,9800,7790
silver,1932,9810,7798
mycophenolic acid,1934,9820,7806
flavoxate,1936,9830,7814
metformin,1938,9840,7822
glipizide,1940,9850,7830
glimepiride,1942,9860,7838
pioglitazone,1944,9870,7846
sitagliptin,1946,9880,7854
metformin / sitagliptin,1948,9890,7862
insulin degludec,1950,9900,7870
insulin aspart / insulin degludec,1952,9910,7878
insulin glargine,1954,9920,7886
insulin lispro,1956,9930,7894
insulin aspart,1958,9940,7902
insulin regular,1960,9950,7910
insulin glulisine,1962,9960,7918
irbesartan,1964,9970,7926
benazepril,1966,9980,7934
moexipril,1968,9990,7942
trandolapril,1970,10000,7950
ranibizumab,1972,10010,7958
aflibercept,1974,10020,7966
tapentadol,1976,10030,7974
tuberculin purified protein derivative,1978,10040,7982
metyrapone,1980,10050,7990
tetrofosmin,1982,10060,7998
glucagon,1984,10070,8006
regadenoson,1986,10080,8014
iobenguane I 123,1988,10090,8022
methacholine,1990,10100,8030
atropine / diphenoxylate,1992,10110,8038
codeine,1994,10120,8046
saccharomyces boulardii lyo,1996,10130,8054
opium,1998,10140,8062
loperamide / simethicone,2000,10150,8070
multivitamin,2002,10160,8078
biotin,2004,10170,8086
omega-3 polyunsaturated fatty acids,2006,10180,8094
calcium citrate,2008,10190,8102
ascorbic acid,2010,10200,8110
bifidobacterium infantis / lactobacillus acidophilus,2012,10210,8118
zolpidem,2014,10220,8126
temazepam,2016,10230,8134
eszopiclone,2018,10240,8142
flurazepam,2020,10250,8150
axicabtagene ciloleucel,2022,10260,8158
hyaluronidase / rituximab,2024,10270,8166
polatuzumab vedotin,2026,10280,8174
digoxin immune fab,2028,10290,8182
"diphtheria toxoid / pertussis, acellular / tetanus toxoid",2030,10300,8190
diphtheria toxoid / tetanus toxoid,2032,10310,8198
"diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",2034,10320,8206
"diphtheria and tetanus toxoids / pertussis, acellular",2036,10330,8214
"diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",2038,10340,8222
"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",2040,10350,8230
"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine",2042,10360,8238
belimumab,2044,10370,8246
cycloserine,2046,10380,8254
deoxycholic acid,2048,10390,8262
cannabidiol,2050,10400,8270
stiripentol,2052,10410,8278
hydrochlorothiazide / lisinopril,2054,10420,8286
valsartan,2056,10430,8294
lifitegrast,2058,10440,8302
hydroxypropyl methylcellulose,2060,10450,8310
pilocarpine,2062,10460,8318
saliva substitutes,2064,10470,8326
glycerin,2066,10480,8334
emollients,2068,10490,8342
deflazacort,2070,10500,8350
eteplirsen,2072,10510,8358
golodirsen,2074,10520,8366
acarbose,2076,10530,8374
methscopolamine,2078,10540,8382
atropine / hyoscyamine / phenobarbital / scopolamine,2080,10550,8390
collagenase clostridium histolyticum,2082,10560,8398
pyridostigmine,2084,10570,8406
pitavastatin,2086,10580,8414
fluvastatin,2088,10590,8422
mefenamic acid,2090,10600,8430
ketoprofen,2092,10610,8438
ospemifene,2094,10620,8446
dehydroepiandrosterone,2096,10630,8454
ciprofloxacin / dexamethasone,2098,10640,8462
acetic acid / hydrocortisone,2100,10650,8470
acetic acid / aluminum acetate,2102,10660,8478
amifampridine,2104,10670,8486
"ebola zaire vaccine, live",2106,10680,8494
ulipristal,2108,10690,8502
ethinyl estradiol / norgestrel,2110,10700,8510
vardenafil,2112,10710,8518
alprostadil,2114,10720,8526
avanafil,2116,10730,8534
ropinirole,2118,10740,8542
pramipexole,2120,10750,8550
carbidopa / levodopa,2122,10760,8558
rotigotine,2124,10770,8566
levodopa,2126,10780,8574
oxacillin,2128,10790,8582
iopamidol,2130,10800,8590
chlordiazepoxide / clidinium,2132,10810,8598
tazemetostat,2134,10820,8606
vemurafenib,2136,10830,8614
diflorasone,2138,10840,8622
calcipotriene,2140,10850,8630
acitretin,2142,10860,8638
betamethasone / calcipotriene,2144,10870,8646
porfimer,2146,10880,8654
ethanolamine oleate,2148,10890,8662
tolvaptan,2150,10900,8670
conivaptan,2152,10910,8678
aluminum chloride hexahydrate,2154,10920,8686
benztropine,2156,10930,8694
glycopyrronium,2158,10940,8702
calcium gluconate,2160,10950,8710
hepatitis b immune globulin,2162,10960,8718
hyaluronidase,2164,10970,8726
coagulation factor viia,2166,10980,8734
lutein,2168,10990,8742
natamycin,2170,11000,8750
fluorometholone,2172,11010,8758
naphazoline,2174,11020,8766
tetrahydrozoline,2176,11030,8774
naphazoline / pheniramine,2178,11040,8782
tetrahydrozoline / zinc sulfate,2180,11050,8790
bimatoprost,2182,11060,8798
agalsidase beta,2184,11070,8806
migalastat,2186,11080,8814
poly-l-lactic acid,2188,11090,8822
coagulation factor x,2190,11100,8830
factor XIII,2192,11110,8838
lomitapide,2194,11120,8846
ergocalciferol,2196,11130,8854
triclabendazole,2198,11140,8862
orlistat,2200,11150,8870
betaine,2202,11160,8878
rosiglitazone,2204,11170,8886
auranofin,2206,11180,8894
clomiphene,2208,11190,8902
chorionic gonadotropin (hcg),2210,11200,8910
menotropins,2212,11210,8918
urofollitropin,2214,11220,8926
flibanserin,2216,11230,8934
bremelanotide,2218,11240,8942
aminocaproic acid,2220,11250,8950
nabilone,2222,11260,8958
acetaminophen / dextromethorphan / guaifenesin / phenylephrine,2224,11270,8966
zanamivir,2226,11280,8974
acetaminophen / chlorpheniramine,2228,11290,8982
acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,2230,11300,8990
peramivir,2232,11310,8998
acetaminophen / chlorpheniramine / dextromethorphan,2234,11320,9006
acetaminophen / dextromethorphan / diphenhydramine,2236,11330,9014
baloxavir marboxil,2238,11340,9022
"influenza virus vaccine, inactivated",2240,11350,9030
"influenza virus vaccine, live, trivalent",2242,11360,9038
rimantadine,2244,11370,9046
follicle stimulating hormone,2246,11380,9054
copanlisib,2248,11390,9062
duvelisib,2250,11400,9070
salicylic acid / urea,2252,11410,9078
prabotulinumtoxinA,2254,11420,9086
fenofibrate,2256,11430,9094
colestipol,2258,11440,9102
clioquinol,2260,11450,9110
undecylenic acid,2262,11460,9118
efinaconazole,2264,11470,9126
tavaborole,2266,11480,9134
chenodeoxycholic acid,2268,11490,9142
tipiracil / trifluridine,2270,11500,9150
rotavirus vaccine,2272,11510,9158
aluminum hydroxide,2274,11520,9166
avapritinib,2276,11530,9174
alvimopan,2278,11540,9182
imiglucerase,2280,11550,9190
miglustat,2282,11560,9198
velaglucerase alfa,2284,11570,9206
eliglustat,2286,11580,9214
taliglucerase alfa,2288,11590,9222
pexidartinib,2290,11600,9230
insulin isophane,2292,11610,9238
insulin isophane / insulin regular,2294,11620,9246
chlorhexidine,2296,11630,9254
brimonidine / timolol,2298,11640,9262
methazolamide,2300,11650,9270
apraclonidine,2302,11660,9278
carbachol,2304,11670,9286
echothiophate iodide,2306,11680,9294
latanoprost,2308,11690,9302
timolol,2310,11700,9310
dorzolamide / timolol,2312,11710,9318
dorzolamide,2314,11720,9326
travoprost,2316,11730,9334
brinzolamide,2318,11740,9342
tafluprost,2320,11750,9350
brimonidine / brinzolamide,2322,11760,9358
latanoprostene bunod,2324,11770,9366
ganirelix,2326,11780,9374
cefixime,2328,11790,9382
febuxostat,2330,11800,9390
pegloticase,2332,11810,9398
allopurinol / lesinurad,2334,11820,9406
lesinurad,2336,11830,9414
colchicine / probenecid,2338,11840,9422
colistimethate,2340,11850,9430
gemifloxacin,2342,11860,9438
macimorelin,2344,11870,9446
carbidopa,2346,11880,9454
vestronidase alfa,2348,11890,9462
C1 esterase inhibitor (human),2350,11900,9470
ecallantide,2352,11910,9478
icatibant,2354,11920,9486
conestat alfa,2356,11930,9494
lanadelumab,2358,11940,9502
emapalumab,2360,11950,9510
haemophilus b conjugate (prp-t) vaccine,2362,11960,9518
haemophilus b conjugate (prp-omp) vaccine,2364,11970,9526
aspirin / caffeine,2366,11980,9534
malathion,2368,11990,9542
acetaminophen / butalbital / caffeine,2370,12000,9550
acetaminophen / butalbital / caffeine / codeine,2372,12010,9558
acetaminophen / butalbital,2374,12020,9566
electrolyte replacement solutions,2376,12030,9574
dienogest / estradiol,2378,12040,9582
amoxicillin / clarithromycin / lansoprazole,2380,12050,9590
bismuth subcitrate potassium / metronidazole / tetracycline,2382,12060,9598
amoxicillin / clarithromycin / omeprazole,2384,12070,9606
eculizumab,2386,12080,9614
ravulizumab,2388,12090,9622
antihemophilic factor,2390,12100,9630
anti-inhibitor coagulant complex,2392,12110,9638
antihemophilic factor / von willebrand factor,2394,12120,9646
emicizumab,2396,12130,9654
mesna,2398,12140,9662
dibucaine,2400,12150,9670
hydrocortisone / lidocaine,2402,12160,9678
pramoxine,2404,12170,9686
thrombin,2406,12180,9694
protamine,2408,12190,9702
defibrotide,2410,12200,9710
hepatitis a adult vaccine,2412,12210,9718
hepatitis a adult vaccine / hepatitis b adult vaccine,2414,12220,9726
hepatitis a pediatric vaccine,2416,12230,9734
hepatitis b adult vaccine,2418,12240,9742
hepatitis b pediatric vaccine,2420,12250,9750
bioflavonoids,2422,12260,9758
nitisinone,2424,12270,9766
aluminum hydroxide / magnesium trisilicate,2426,12280,9774
docosanol,2428,12290,9782
allantoin / camphor / phenol,2430,12300,9790
zoster vaccine live,2432,12310,9798
"zoster vaccine, inactivated",2434,12320,9806
etidronate,2436,12330,9814
prochlorperazine,2438,12340,9822
abciximab,2440,12350,9830
eflornithine,2442,12360,9838
omalizumab,2444,12370,9846
bazedoxifene / conjugated estrogens,2446,12380,9854
podophyllum resin,2448,12390,9862
resorcinol,2450,12400,9870
human papillomavirus vaccine,2452,12410,9878
tetrabenazine,2454,12420,9886
deutetrabenazine,2456,12430,9894
laronidase,2458,12440,9902
sodium benzoate / sodium phenylacetate,2460,12450,9910
carglumic acid,2462,12460,9918
cinacalcet,2464,12470,9926
sodium polystyrene sulfonate,2466,12480,9934
patiromer,2468,12490,9942
sodium zirconium cyclosilicate,2470,12500,9950
dichlorphenamide,2472,12510,9958
calcifediol,2474,12520,9966
etelcalcetide,2476,12530,9974
calcium acetate,2478,12540,9982
sevelamer,2480,12550,9990
lanthanum carbonate,2482,12560,9998
ferric citrate,2484,12570,10006
sucroferric oxyhydroxide,2486,12580,10014
magnesium carbonate,2488,12590,10022
cabergoline,2490,12600,10030
methyldopa,2492,12610,10038
diazoxide,2494,12620,10046
fenoldopam,2496,12630,10054
clevidipine,2498,12640,10062
methimazole,2500,12650,10070
iodine / potassium iodide,2502,12660,10078
rasburicase,2504,12670,10086
calcitriol,2506,12680,10094
parathyroid hormone,2508,12690,10102
calcium lactate,2510,12700,10110
"calcium phosphate, tribasic",2512,12710,10118
estropipate,2514,12720,10126
potassium chloride,2516,12730,10134
potassium gluconate,2518,12740,10142
potassium bicarbonate,2520,12750,10150
potassium bicarbonate / potassium chloride,2522,12760,10158
magnesium chloride,2524,12770,10166
magnesium amino acids chelate,2526,12780,10174
magnesium gluconate,2528,12790,10182
sodium acetate,2530,12800,10190
asfotase alfa,2532,12810,10198
potassium phosphate / sodium phosphate,2534,12820,10206
potassium phosphate,2536,12830,10214
sodium phosphate,2538,12840,10222
albumin human,2540,12850,10230
phytonadione,2542,12860,10238
norepinephrine,2544,12870,10246
droxidopa,2546,12880,10254
liothyronine,2548,12890,10262
liotrix,2550,12900,10270
doxapram,2552,12910,10278
hydroxyethyl starch,2554,12920,10286
midazolam,2556,12930,10294
pirfenidone,2558,12940,10302
nintedanib,2560,12950,10310
romiplostim,2562,12960,10318
rho (d) immune globulin,2564,12970,10326
retapamulin,2566,12980,10334
sulconazole,2568,12990,10342
ozenoxacin,2570,13000,10350
ammoniated mercury,2572,13010,10358
ertapenem,2574,13020,10366
magnesium salicylate,2576,13030,10374
tolmetin,2578,13040,10382
flurbiprofen,2580,13050,10390
cilostazol,2582,13060,10398
pentoxifylline,2584,13070,10406
doripenem,2586,13080,10414
tigecycline,2588,13090,10422
levobunolol,2590,13100,10430
deferoxamine,2592,13110,10438
aspirin / dipyridamole,2594,13120,10446
calamine,2596,13130,10454
"japanese enceph vacc sa14-14-2, inactivated",2598,13140,10462
oxaprozin,2600,13150,10470
abatacept,2602,13160,10478
methyl aminolevulinate,2604,13170,10486
potassium citrate,2606,13180,10494
oxymorphone,2608,13190,10502
lactase,2610,13200,10510
sirolimus,2612,13210,10518
edetate calcium disodium,2614,13220,10526
succimer,2616,13230,10534
clobazam,2618,13240,10542
rufinamide,2620,13250,10550
felbamate,2622,13260,10558
clofazimine,2624,13270,10566
aloe polysaccharides / iodoquinol,2626,13280,10574
meperidine,2628,13290,10582
secobarbital,2630,13300,10590
levorphanol,2632,13310,10598
tesamorelin,2634,13320,10606
metreleptin,2636,13330,10614
gadoxetate disodium,2638,13340,10622
floxuridine,2640,13350,10630
mepivacaine,2642,13360,10638
cocaine,2644,13370,10646
articaine / epinephrine,2646,13380,10654
epinephrine / lidocaine,2648,13390,10662
chloroprocaine,2650,13400,10670
sebelipase alfa,2652,13410,10678
verteporfin,2654,13420,10686
pegaptanib,2656,13430,10694
brolucizumab,2658,13440,10702
artemether / lumefantrine,2660,13450,10710
mefloquine,2662,13460,10718
atovaquone / proguanil,2664,13470,10726
primaquine,2666,13480,10734
pyrimethamine,2668,13490,10742
tafenoquine,2670,13500,10750
acalabrutinib,2672,13510,10758
zanubrutinib,2674,13520,10766
azacitidine,2676,13530,10774
measles virus vaccine / mumps virus vaccine / rubella virus vaccine,2678,13540,10782
measles virus vaccine,2680,13550,10790
measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine,2682,13560,10798
formaldehyde,2684,13570,10806
cobimetinib,2686,13580,10814
fluocinolone / hydroquinone / tretinoin,2688,13590,10822
meningococcal group B vaccine,2690,13600,10830
meningococcal conjugate vaccine,2692,13610,10838
drospirenone / ethinyl estradiol,2694,13620,10846
citric acid / potassium citrate / sodium citrate,2696,13630,10854
levoleucovorin,2698,13640,10862
glucarpidase,2700,13650,10870
olmesartan,2702,13660,10878
benzoin,2704,13670,10886
camphor / menthol,2706,13680,10894
smallpox and monkeypox vaccine,2708,13690,10902
doxylamine / pyridoxine,2710,13700,10910
calcium / folic acid / ginger / pyridoxine,2712,13710,10918
elosulfase alfa,2714,13720,10926
scopolamine,2716,13730,10934
dimenhydrinate,2718,13740,10942
glatiramer,2720,13750,10950
dalfampridine,2722,13760,10958
fingolimod,2724,13770,10966
interferon beta-1a,2726,13780,10974
dimethyl fumarate,2728,13790,10982
teriflunomide,2730,13800,10990
idursulfase,2732,13810,10998
galsulfase,2734,13820,11006
palifermin,2736,13830,11014
mumps virus vaccine,2738,13840,11022
neostigmine,2740,13850,11030
ethambutol,2742,13860,11038
rifabutin,2744,13870,11046
amikacin liposome,2746,13880,11054
isoniazid,2748,13890,11062
mechlorethamine,2750,13900,11070
mogamulizumab,2752,13910,11078
poly-ureaurethane,2754,13920,11086
aprepitant,2756,13930,11094
granisetron,2758,13940,11102
palonosetron,2760,13950,11110
droperidol,2762,13960,11118
atropine / pralidoxime,2764,13970,11126
dinutuximab,2766,13980,11134
lutetium lu 177 dotatate,2768,13990,11142
guanidine,2770,14000,11150
cenegermin,2772,14010,11158
pegfilgrastim,2774,14020,11166
tbo-filgrastim,2776,14030,11174
niacinamide,2778,14040,11182
tasimelteon,2780,14050,11190
dopamine,2782,14060,11198
lamivudine / zidovudine,2784,14070,11206
atazanavir,2786,14080,11214
abacavir / lamivudine,2788,14090,11222
zidovudine,2790,14100,11230
efavirenz,2792,14110,11238
lopinavir / ritonavir,2794,14120,11246
esomeprazole / naproxen,2796,14130,11254
famotidine / ibuprofen,2798,14140,11262
parenteral nutrition solution w / electrolytes,2800,14150,11270
fat emulsion,2802,14160,11278
parenteral nutrition solution,2804,14170,11286
chromic chloride hexahydrate,2806,14180,11294
trace elements,2808,14190,11302
phentermine,2810,14200,11310
phendimetrazine,2812,14210,11318
diethylpropion,2814,14220,11326
methamphetamine,2816,14230,11334
lorcaserin,2818,14240,11342
phentermine / topiramate,2820,14250,11350
bupropion / naltrexone,2822,14260,11358
clomipramine,2824,14270,11366
raltegravir,2826,14280,11374
emtricitabine,2828,14290,11382
moxidectin,2830,14300,11390
conjugated estrogens / medroxyprogesterone,2832,14310,11398
proparacaine,2834,14320,11406
besifloxacin,2836,14330,11414
ketorolac / phenylephrine,2838,14340,11422
"ophthalmic irrigation, intraocular",2840,14350,11430
trypan blue,2842,14360,11438
sodium chondroitin sulfate / sodium hyaluronate,2844,14370,11446
buprenorphine / naloxone,2846,14380,11454
lofexidine,2848,14390,11462
naloxone,2850,14400,11470
basiliximab,2852,14410,11478
daclizumab,2854,14420,11486
tropicamide,2856,14430,11494
cholecalciferol / genistein / zinc glycinate,2858,14440,11502
cetrorelix,2860,14450,11510
ambrisentan,2862,14460,11518
bosentan,2864,14470,11526
treprostinil,2866,14480,11534
macitentan,2868,14490,11542
epoprostenol,2870,14500,11550
iloprost,2872,14510,11558
riociguat,2874,14520,11566
hydrocodone,2876,14530,11574
acetaminophen / aspirin / caffeine,2878,14540,11582
naproxen / pseudoephedrine,2880,14550,11590
acetaminophen / dextromethorphan / phenylephrine,2882,14560,11598
acetaminophen / dextromethorphan / doxylamine / phenylephrine,2884,14570,11606
iobenguane I 131,2886,14580,11614
selegiline,2888,14590,11622
rasagiline,2890,14600,11630
entacapone,2892,14610,11638
carbidopa / entacapone / levodopa,2894,14620,11646
pimavanserin,2896,14630,11654
heparin flush,2898,14640,11662
dextromethorphan / quinidine,2900,14650,11670
drospirenone / ethinyl estradiol / levomefolate calcium,2902,14660,11678
benzylpenicilloyl-polylysine,2904,14670,11686
propantheline,2906,14680,11694
clidinium,2908,14690,11702
bivalirudin,2910,14700,11710
cangrelor,2912,14710,11718
vorapaxar,2914,14720,11726
belinostat,2916,14730,11734
florbetapir F 18,2918,14740,11742
gallium ga 68 dotatate,2920,14750,11750
rubidium chloride rb-82,2922,14760,11758
flutemetamol f-18,2924,14770,11766
choline c-11,2926,14780,11774
florbetaben f-18,2928,14790,11782
fluciclovine F 18,2930,14800,11790
gallium ga-68 dotatoc,2932,14810,11798
sapropterin,2934,14820,11806
pegvaliase,2936,14830,11814
phenoxybenzamine,2938,14840,11822
metyrosine,2940,14850,11830
lactic acid,2942,14860,11838
secukinumab,2944,14870,11846
ixekizumab,2946,14880,11854
brodalumab,2948,14890,11862
sterile talc,2950,14900,11870
acetaminophen / pamabrom / pyrilamine,2952,14910,11878
acetaminophen / caffeine / pyrilamine,2954,14920,11886
acetaminophen / pamabrom,2956,14930,11894
pneumococcal 13-valent vaccine,2958,14940,11902
pneumococcal 23-polyvalent vaccine,2960,14950,11910
"poliovirus vaccine, inactivated",2962,14960,11918
alglucosidase alfa,2964,14970,11926
acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,2966,14980,11934
brompheniramine / codeine,2968,14990,11942
chlophedianol / dexbrompheniramine,2970,15000,11950
dextromethorphan / pyrilamine,2972,15010,11958
nepafenac,2974,15020,11966
bromfenac,2976,15030,11974
difluprednate,2978,15040,11982
methylergonovine,2980,15050,11990
emtricitabine / tenofovir alafenamide,2982,15060,11998
histrelin,2984,15070,12006
nafarelin,2986,15080,12014
hydroxyprogesterone,2988,15090,12022
acebutolol,2990,15100,12030
aspirin / omeprazole,2992,15110,12038
fluoride,2994,15120,12046
cholecalciferol,2996,15130,12054
estradiol / levonorgestrel,2998,15140,12062
afamelanotide,3000,15150,12070
mecasermin,3002,15160,12078
hyaluronidase / immune globulin,3004,15170,12086
acetylcholine,3006,15180,12094
protein c,3008,15190,12102
perphenazine,3010,15200,12110
fluphenazine,3012,15210,12118
thiothixene,3014,15220,12126
iloperidone,3016,15230,12134
cyclopentolate,3018,15240,12142
"rabies immune globulin, human",3020,15250,12150
"rabies vaccine, purified chick embryo cell",3022,15260,12158
"rabies vaccine, human diploid cell",3024,15270,12166
pentetate calcium trisodium,3026,15280,12174
prussian blue,3028,15290,12182
pentetate zinc trisodium,3030,15300,12190
felodipine,3032,15310,12198
isradipine,3034,15320,12206
nisoldipine,3036,15330,12214
nevirapine,3038,15340,12222
homatropine,3040,15350,12230
belatacept,3042,15360,12238
muromonab-cd3,3044,15370,12246
anti-thymocyte globulin (rabbit),3046,15380,12254
nitric oxide,3048,15390,12262
caffeine / sodium benzoate,3050,15400,12270
voretigene neparvovec,3052,15410,12278
prothrombin complex,3054,15420,12286
coagulation factor Xa,3056,15430,12294
idarucizumab,3058,15440,12302
sugammadex,3060,15450,12310
atropine / edrophonium,3062,15460,12318
sulfadiazine,3064,15470,12326
brompheniramine / phenylephrine,3066,15480,12334
chlorpheniramine / methscopolamine / phenylephrine,3068,15490,12342
crotamiton,3070,15500,12350
penicillin g benzathine / procaine penicillin,3072,15510,12358
diclofenac / misoprostol,3074,15520,12366
antivenom (centruroides scorpion),3076,15530,12374
olopatadine,3078,15540,12382
coal tar,3080,15550,12390
paricalcitol,3082,15560,12398
doxercalciferol,3084,15570,12406
dexmedetomidine,3086,15580,12414
dobutamine,3088,15590,12422
teduglutide,3090,15600,12430
demeclocycline,3092,15610,12438
ibuprofen / pseudoephedrine,3094,15620,12446
acetaminophen / phenylephrine,3096,15630,12454
acetaminophen / pseudoephedrine,3098,15640,12462
dexbrompheniramine / pseudoephedrine,3100,15650,12470
cevimeline,3102,15660,12478
tecovirimat,3104,15670,12486
smallpox vaccine,3106,15680,12494
nicotine,3108,15690,12502
varenicline,3110,15700,12510
papaverine,3112,15710,12518
larotrectinib,3114,15720,12526
entrectinib,3116,15730,12534
phenol,3118,15740,12542
benzocaine / menthol,3120,15750,12550
menthol,3122,15760,12558
dyclonine,3124,15770,12566
benzocaine / butamben / tetracaine,3126,15780,12574
nusinersen,3128,15790,12582
onasemnogene abeparvovec,3130,15800,12590
golimumab,3132,15810,12598
pentobarbital,3134,15820,12606
fosphenytoin,3136,15830,12614
aluminum hydroxide / magnesium hydroxide,3138,15840,12622
sacrosidase,3140,15850,12630
valbenazine,3142,15860,12638
apomorphine,3144,15870,12646
tetanus immune globulin,3146,15880,12654
avatrombopag,3148,15890,12662
lusutrombopag,3150,15900,12670
caplacizumab,3152,15910,12678
teprotumumab,3154,15920,12686
cefaclor,3156,15930,12694
povidone iodine,3158,15940,12702
iodine,3160,15950,12710
isopropyl alcohol,3162,15960,12718
sodium hypochlorite,3164,15970,12726
benzalkonium chloride,3166,15980,12734
pimozide,3168,15990,12742
isoniazid / pyrazinamide / rifampin,3170,16000,12750
pyrazinamide,3172,16010,12758
isoniazid / rifampin,3174,16020,12766
rifapentine,3176,16030,12774
bcg,3178,16040,12782
bcg vaccine,3180,16050,12790
bedaquiline,3182,16060,12798
aminosalicylic acid,3184,16070,12806
pretomanid,3186,16080,12814
"typhoid vaccine, live",3188,16090,12822
"typhoid vaccine, inactivated",3190,16100,12830
olsalazine,3192,16110,12838
sodium phenylbutyrate,3194,16120,12846
glycerol phenylbutyrate,3196,16130,12854
potassium acid phosphate,3198,16140,12862
valrubicin,3200,16150,12870
durvalumab,3202,16160,12878
enfortumab vedotin,3204,16170,12886
varicella virus vaccine,3206,16180,12894
polidocanol,3208,16190,12902
sodium tetradecyl sulfate,3210,16200,12910
antivenin (crotalidae) polyvalent,3212,16210,12918
antivenin (micrurus fulvius),3214,16220,12926
antivenin (black widow spider),3216,16230,12934
betrixaban,3218,16240,12942
"dextran, low molecular weight",3220,16250,12950
vitamin a,3222,16260,12958
beta-carotene,3224,16270,12966
multivitamin with minerals,3226,16280,12974
chromium picolinate,3228,16290,12982
selenium,3230,16300,12990
zinc sulfate,3232,16310,12998
"multivitamin, prenatal",3234,16320,13006
ocriplasmin,3236,16330,13014
von willebrand factor,3238,16340,13022
desipramine,3240,16350,13030
zinc acetate,3242,16360,13038
trientine,3244,16370,13046
burosumab,3246,16380,13054
yellow fever vaccine,3248,16390,13062
