Drug_name,Lipophilicity_LogP,Binding_Affinity_kcal_per_mol
givosiran,-1.46,-5.49
glasdegib,3.46,-5.91
glatiramer,2.15,-4.85
glecaprevir / pibrentasvir,1.5,-5.69
glimepiride,4.2,-7.14
glipizide,3.41,-5.8
glucagon,-1.36,-7.99
glucarpidase,-0.16,-7.82
glutamine,-0.64,-5.16
glycerin,3.08,-7.04
glycerol phenylbutyrate,-2.25,-5.11
glycopyrrolate,1.77,-4.98
glycopyrronium,3.22,-4.78
golimumab,4.08,-4.46
golodirsen,0.07,-7.13
goserelin,3.66,-7.75
granisetron,-1.67,-6.3
griseofulvin,3.85,-7.46
guaifenesin,-1.54,-6.19
guaifenesin / phenylephrine,0.48,-5.62
guaifenesin / pseudoephedrine,3.48,-5.71
guanfacine,-1.38,-7.44
guanidine,-0.78,-8.58
haemophilus b conjugate (prp-omp) vaccine,2.92,-7.13
haemophilus b conjugate (prp-t) vaccine,2.9,-8.72
halobetasol,2.31,-4.6
haloperidol,2.7,-7.6
hemin,1.57,-8.65
heparin,-0.61,-9.36
heparin flush,0.09,-5.95
hepatitis a adult vaccine,-1.14,-6.0
hepatitis a adult vaccine / hepatitis b adult vaccine,4.31,-7.63
hepatitis a pediatric vaccine,1.88,-9.11
hepatitis b adult vaccine,0.51,-7.25
hepatitis b immune globulin,0.97,-7.79
hepatitis b pediatric vaccine,4.6,-5.78
hetastarch,-1.35,-6.17
histrelin,1.9,-7.49
homatropine,1.29,-8.3
homatropine / hydrocodone,2.09,-4.07
human papillomavirus vaccine,-2.36,-7.0
hyaluronidase,4.04,-5.71
hyaluronidase / immune globulin,4.49,-8.73
hyaluronidase / rituximab,1.74,-6.83
hydralazine,2.72,-9.35
hydrochlorothiazide,4.42,-6.72
hydrochlorothiazide / lisinopril,2.8,-4.2
hydrochlorothiazide / spironolactone,-1.36,-7.39
hydrochlorothiazide / triamterene,1.82,-9.29
hydrocodone,2.05,-9.33
hydrocortisone,0.68,-7.37
hydrocortisone / lidocaine,3.02,-8.62
hydrocortisone / neomycin / polymyxin b,4.51,-9.37
hydrocortisone / pramoxine,4.44,-5.34
hydrogen peroxide,0.88,-6.98
hydromorphone,-1.65,-7.91
hydroquinone,4.89,-4.55
hydroxocobalamin,3.79,-8.86
hydroxychloroquine,-1.57,-4.24
hydroxyethyl starch,4.41,-7.77
hydroxyprogesterone,4.02,-4.61
hydroxypropyl methylcellulose,1.39,-6.18
hydroxyquinoline,1.93,-4.95
hydroxyurea,0.49,-4.09
hydroxyzine,-2.09,-7.91
hyoscyamine,0.01,-4.21
ibandronate,3.52,-7.36
ibritumomab,-2.47,-7.38
ibrutinib,0.0,-7.63
ibuprofen,0.49,-6.52
ibuprofen / pseudoephedrine,1.53,-8.65
ibutilide,4.4,-6.45
icatibant,0.1,-6.52
icosapent,0.1,-5.31
idarubicin,3.03,-4.91
idarucizumab,0.89,-7.08
idelalisib,-0.82,-7.84
idursulfase,0.89,-8.07
ifosfamide,-1.44,-8.43
iloperidone,-1.18,-9.18
iloprost,1.24,-7.62
imatinib,0.64,-8.01
imiglucerase,4.36,-4.18
imipramine,0.22,-6.43
imiquimod,1.85,-7.59
immune globulin intramuscular,2.24,-6.31
immune globulin intravenous,-2.4,-8.73
immune globulin intravenous and subcutaneous,2.48,-7.06
immune globulin subcutaneous,-1.16,-6.06
incobotulinumtoxinA,4.71,-6.81
indomethacin,-1.39,-7.29
infliximab,0.61,-4.03
"influenza virus vaccine, h5n1",-1.86,-4.66
"influenza virus vaccine, inactivated",4.98,-6.07
"influenza virus vaccine, live, trivalent",1.27,-6.37
ingenol,1.97,-6.09
inotersen,-2.0,-8.39
insulin aspart,3.12,-7.33
insulin aspart / insulin degludec,-0.93,-9.28
insulin degludec,4.24,-6.88
insulin glargine,-0.96,-6.51
insulin glulisine,-1.07,-8.25
insulin isophane,-2.23,-4.2
insulin isophane / insulin regular,1.04,-4.5
insulin lispro,1.74,-5.53
insulin regular,-2.01,-6.57
interferon alfa-2b,3.32,-4.72
interferon alfa-n3,0.9,-8.78
interferon beta-1a,1.43,-5.15
interferon beta-1b,0.81,-8.81
interferon gamma-1b,0.51,-5.13
iobenguane I 123,1.7,-7.98
iobenguane I 131,-1.34,-4.68
iodine,-1.14,-4.31
iodine / potassium iodide,3.96,-8.68
iodixanol,4.6,-6.96
iohexol,0.3,-4.1
iopamidol,-0.47,-6.84
iopromide,2.33,-4.75
ioversol,0.57,-6.26
ipilimumab,-2.31,-7.44
ipratropium,-1.33,-7.93
irbesartan,2.87,-8.38
irinotecan,2.44,-5.31
irinotecan liposomal,-2.3,-7.37
iron polysaccharide,-0.84,-6.69
iron sucrose,-0.77,-6.79
isavuconazonium,2.54,-6.32
isoniazid,-2.35,-4.74
isoniazid / pyrazinamide / rifampin,-1.72,-4.11
isoniazid / rifampin,3.5,-7.26
isopropyl alcohol,-1.16,-4.95
isoproterenol,2.4,-5.3
isosorbide dinitrate,-0.71,-6.35
isosorbide mononitrate,-1.75,-4.24
isotretinoin,-0.68,-8.4
isoxsuprine,2.92,-8.9
isradipine,3.92,-4.8
itraconazole,3.73,-7.08
ivacaftor,0.48,-4.84
ivacaftor / lumacaftor,2.51,-4.59
ivermectin,-0.96,-9.16
ivosidenib,-0.3,-4.64
ixekizumab,4.22,-7.03
"japanese enceph vacc sa14-14-2, inactivated",-2.4,-6.69
ketamine,-1.86,-6.05
ketoconazole,-0.94,-4.4
ketoprofen,-2.3,-9.39
ketorolac,-1.14,-6.88
ketorolac / phenylephrine,1.87,-5.72
ketotifen,0.66,-5.53
l-methylfolate,4.2,-5.69
labetalol,3.63,-8.76
lactase,0.06,-7.85
lactic acid,-0.55,-7.53
lactulose,0.35,-5.08
lamivudine,1.93,-7.97
lamivudine / zidovudine,-0.49,-8.34
lamotrigine,2.18,-4.23
lanadelumab,0.57,-9.45
lanolin,1.64,-4.01
lanreotide,0.77,-5.78
lansoprazole,-0.29,-4.94
lanthanum carbonate,4.61,-7.88
laronidase,3.23,-9.42
larotrectinib,-1.45,-5.44
latanoprost,4.01,-4.91
latanoprostene bunod,1.16,-5.43
ledipasvir / sofosbuvir,4.21,-8.71
leflunomide,3.5,-5.36
lenalidomide,0.69,-5.27
lenvatinib,-2.33,-5.88
lesinurad,-0.48,-5.29
letermovir,1.56,-4.85
letrozole,2.25,-6.13
leucovorin,-0.57,-9.01
leuprolide,-1.45,-6.82
levalbuterol,3.76,-9.07
levetiracetam,4.88,-7.26
levobunolol,1.44,-7.26
levocarnitine,-1.21,-9.14
levocetirizine,-0.46,-7.58
levodopa,-2.36,-8.89
levofloxacin,4.36,-5.05
levoleucovorin,-1.62,-4.29
levonorgestrel,1.82,-9.1
levorphanol,-0.44,-4.25
levothyroxine,1.66,-6.63
lidocaine,2.39,-7.85
lidocaine / prilocaine,3.72,-9.08
lifitegrast,-0.95,-6.75
linaclotide,-2.42,-5.13
lindane,-1.47,-5.61
linezolid,4.25,-9.22
liothyronine,4.05,-9.1
liotrix,1.98,-7.28
liraglutide,2.0,-7.88
lisdexamfetamine,2.49,-8.22
lisinopril,-1.18,-7.95
lithium,4.36,-5.08
lodoxamide,0.64,-4.39
lofexidine,0.37,-7.27
lomitapide,1.39,-4.52
lomustine,-2.15,-7.73
loperamide,-1.25,-6.88
loperamide / simethicone,3.04,-8.26
lopinavir / ritonavir,-1.88,-5.98
loratadine,2.02,-4.12
loratadine / pseudoephedrine,-0.66,-6.18
lorazepam,0.42,-7.53
lorcaserin,-0.33,-5.94
losartan,0.17,-8.82
loteprednol,2.89,-4.61
loteprednol / tobramycin,-0.27,-6.73
lovastatin,1.75,-7.03
loxapine,1.07,-6.28
lubiprostone,2.48,-6.06
lurasidone,4.53,-9.11
luspatercept,2.99,-5.75
lusutrombopag,-0.89,-8.17
lutein,-2.27,-5.57
lutetium lu 177 dotatate,-0.53,-4.98
lvp solution,1.96,-5.08
"lymphocyte immune globulin, anti-thy (equine)",-2.11,-6.46
macimorelin,1.22,-6.64
macitentan,1.98,-8.71
magnesium amino acids chelate,0.01,-5.24
magnesium carbonate,3.28,-8.01
magnesium chloride,-1.7,-6.77
magnesium citrate,-1.94,-7.94
magnesium gluconate,2.96,-8.76
magnesium hydroxide,1.22,-6.04
magnesium oxide,2.66,-9.2
magnesium salicylate,0.76,-5.38
magnesium sulfate,-0.65,-7.75
magnesium sulfate / potassium sulfate / sodium sulfate,3.64,-9.5
malathion,3.5,-6.69
mannitol,2.71,-9.24
measles virus vaccine,-0.46,-7.98
measles virus vaccine / mumps virus vaccine / rubella virus vaccine,1.93,-5.61
measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine,0.21,-9.16
mebendazole,-1.81,-4.88
mecasermin,4.38,-9.48
mechlorethamine,-1.47,-8.14
meclizine,4.63,-5.43
medroxyprogesterone,0.85,-7.76
mefenamic acid,-1.11,-8.94
mefloquine,1.56,-7.52
megestrol,4.05,-8.01
meloxicam,2.99,-4.87
melphalan,3.55,-7.78
memantine,2.44,-5.16
meningococcal conjugate vaccine,2.69,-4.59
meningococcal group B vaccine,3.87,-7.11
menotropins,-0.63,-4.5
menthol,1.17,-7.42
menthol / zinc oxide,-0.84,-4.2
meperidine,4.91,-9.01
mepivacaine,4.58,-5.72
mepolizumab,-2.2,-6.78
mercaptopurine,2.79,-7.37
meropenem,4.44,-6.02
mesalamine,-1.15,-5.63
mesna,1.76,-9.48
metaxalone,4.37,-8.58
metformin,-2.25,-5.58
metformin / sitagliptin,2.73,-5.83
methacholine,-0.27,-4.19
methadone,4.43,-5.31
methamphetamine,4.78,-4.27
methazolamide,4.58,-5.64
methenamine,1.06,-7.86
methimazole,3.97,-8.92
methocarbamol,3.83,-5.2
methohexital,-0.11,-5.96
methotrexate,3.72,-9.23
methoxsalen,-2.22,-7.52
methscopolamine,1.97,-4.24
methyl aminolevulinate,-0.77,-6.75
methyldopa,-1.6,-7.12
methylene blue,-1.92,-6.98
methylergonovine,2.72,-8.35
methylnaltrexone,0.05,-7.47
methylphenidate,2.94,-7.47
methylprednisolone,-2.01,-9.21
methyltestosterone,-0.14,-5.28
metoclopramide,1.55,-7.21
metolazone,3.43,-4.98
metoprolol,-0.11,-4.82
metreleptin,2.19,-8.33
metronidazole,4.14,-5.88
metyrapone,2.12,-6.9
metyrosine,-0.75,-4.66
mexiletine,-2.32,-8.31
micafungin,4.03,-5.77
miconazole,-2.34,-6.16
miconazole / zinc oxide,4.06,-7.88
midazolam,1.47,-8.75
midodrine,4.54,-5.92
midostaurin,3.49,-5.44
mifepristone,4.98,-7.76
migalastat,0.13,-5.95
miglustat,3.25,-7.33
milnacipran,0.51,-5.58
miltefosine,1.1,-8.4
minocycline,2.21,-4.6
minoxidil,4.05,-7.92
mirabegron,4.88,-7.48
mirtazapine,3.26,-9.18
misoprostol,0.63,-8.89
mitomycin,0.66,-6.66
mitotane,3.03,-8.03
mitoxantrone,-0.71,-4.9
modafinil,-1.67,-9.42
moexipril,0.16,-7.41
mogamulizumab,-0.35,-7.64
mometasone,-0.28,-9.39
montelukast,-0.75,-8.82
morphine,-2.18,-7.22
moxetumomab pasudotox,-2.37,-6.79
moxidectin,4.91,-7.28
moxifloxacin,0.71,-6.58
multivitamin,0.38,-6.23
multivitamin with iron,2.6,-9.45
multivitamin with minerals,-0.86,-6.95
"multivitamin, prenatal",4.62,-4.2
mumps virus vaccine,3.4,-6.65
mupirocin,-1.83,-5.77
muromonab-cd3,0.63,-7.78
mycophenolate mofetil,4.09,-5.24
mycophenolic acid,4.59,-5.25
nabilone,1.01,-6.63
nabumetone,2.1,-4.13
nadolol,-1.25,-8.81
nafarelin,4.93,-9.41
naldemedine,-0.76,-5.26
naloxegol,4.57,-5.06
naloxone,2.37,-8.84
naltrexone,2.06,-8.04
naphazoline,1.35,-9.4
naphazoline / pheniramine,-0.77,-7.89
naproxen,-1.18,-5.25
naproxen / pseudoephedrine,-0.85,-6.65
naratriptan,-1.1,-7.59
natalizumab,3.35,-7.46
natamycin,0.13,-9.49
nebivolol,-2.07,-7.85
nedocromil,4.77,-5.94
nelarabine,4.13,-4.14
neomycin,4.46,-4.84
neomycin / polymyxin b / pramoxine,4.96,-9.37
neostigmine,-1.2,-4.56
nepafenac,0.47,-5.19
neratinib,3.19,-5.21
nevirapine,2.72,-6.98
niacin,-1.35,-7.31
niacinamide,3.62,-7.83
nicotine,-0.82,-9.14
nifedipine,-0.82,-8.24
nilotinib,1.53,-8.14
nimodipine,1.95,-6.84
nintedanib,1.85,-5.39
niraparib,-1.81,-6.89
nisoldipine,4.08,-9.18
nitazoxanide,-0.51,-4.23
nitisinone,-1.53,-4.32
nitric oxide,4.17,-5.18
nitrofurantoin,4.67,-4.05
nitroglycerin,3.97,-6.51
nitroprusside,3.57,-4.2
nivolumab,2.41,-9.08
norepinephrine,1.63,-7.49
norethindrone,-1.85,-8.26
nortriptyline,0.56,-8.42
nusinersen,0.3,-8.73
nystatin,-0.55,-6.08
nystatin / triamcinolone,2.93,-5.2
obeticholic acid,1.22,-6.32
obinutuzumab,-1.89,-8.69
ocriplasmin,-0.85,-5.04
octreotide,2.62,-6.0
ofatumumab,-1.93,-7.37
ofloxacin,3.88,-5.79
olanzapine,1.21,-8.07
olaparib,1.1,-7.6
olaratumab,1.94,-4.45
olmesartan,3.69,-7.9
olodaterol,0.11,-6.92
olodaterol / tiotropium,2.59,-4.6
olopatadine,1.74,-5.61
olsalazine,-0.5,-9.16
omacetaxine,4.09,-8.69
omalizumab,3.48,-9.46
omega-3 polyunsaturated fatty acids,2.44,-6.03
omeprazole,3.88,-7.04
omeprazole / sodium bicarbonate,4.0,-8.76
onabotulinumtoxinA,2.81,-4.23
onasemnogene abeparvovec,3.78,-6.59
ondansetron,2.73,-8.17
"ophthalmic irrigation, intraocular",2.6,-6.75
opium,2.14,-5.76
orlistat,3.15,-9.08
orphenadrine,-1.31,-7.99
oseltamivir,4.11,-5.06
ospemifene,4.04,-6.97
oxacillin,-2.28,-6.49
oxaliplatin,3.69,-7.12
oxandrolone,-1.53,-9.26
oxaprozin,0.01,-8.59
oxazepam,3.08,-7.05
oxcarbazepine,-1.29,-8.35
oxybutynin,3.63,-9.23
oxycodone,3.74,-4.86
oxymetazoline,1.31,-4.1
oxymetholone,-2.45,-5.14
oxymorphone,-0.35,-4.8
oxytocin,2.13,-8.17
ozenoxacin,4.86,-4.22
paclitaxel,2.24,-8.42
paclitaxel protein-bound,-0.55,-4.27
palbociclib,2.26,-4.03
palifermin,1.55,-5.59
paliperidone,3.35,-4.1
palivizumab,-1.7,-6.37
palonosetron,3.21,-8.07
pamabrom,1.56,-7.1
pamidronate,4.72,-6.24
pancreatin,0.06,-9.1
pancrelipase,2.24,-6.08
panitumumab,4.49,-4.1
pantoprazole,-1.73,-8.45
papaverine,4.53,-5.14
parathyroid hormone,2.66,-4.51
parenteral nutrition solution,-1.99,-4.31
parenteral nutrition solution w / electrolytes,-0.24,-4.22
paricalcitol,2.81,-6.63
paromomycin,-1.99,-4.12
paroxetine,1.87,-5.33
pasireotide,0.09,-8.61
patiromer,2.16,-6.88
patisiran,-2.16,-5.55
pazopanib,4.04,-8.14
pegademase bovine,4.8,-5.98
pegaptanib,4.77,-5.83
pegaspargase,3.12,-8.61
pegfilgrastim,-1.52,-6.39
peginterferon alfa-2a,3.19,-5.26
peginterferon alfa-2b,-2.32,-6.76
pegloticase,-2.33,-9.43
pegvaliase,-0.07,-9.45
pegvisomant,1.16,-7.54
pembrolizumab,3.28,-4.41
pemetrexed,2.62,-8.24
penciclovir,0.84,-6.01
penicillamine,-0.45,-8.28
penicillin g benzathine,4.98,-7.73
penicillin g benzathine / procaine penicillin,0.7,-4.84
penicillin g potassium,0.89,-5.49
penicillin g sodium,-1.27,-8.98
penicillin v potassium,3.46,-7.14
pentamidine,2.7,-9.34
pentetate calcium trisodium,-0.84,-6.86
pentetate zinc trisodium,-1.88,-5.86
pentobarbital,2.6,-8.85
pentosan polysulfate sodium,2.41,-7.91
pentostatin,-0.45,-7.31
pentoxifylline,4.63,-4.44
peramivir,-1.37,-4.04
perflutren,0.74,-9.25
perindopril,4.58,-5.31
permethrin,0.65,-7.46
perphenazine,2.29,-7.34
pexidartinib,0.48,-5.35
phenazopyridine,-0.44,-4.45
phendimetrazine,4.88,-4.27
phenobarbital,0.57,-6.33
phenol,4.21,-7.54
phenoxybenzamine,-0.78,-5.17
phentermine,-0.9,-8.12
phentermine / topiramate,-2.27,-6.4
phentolamine,2.39,-7.53
phenylephrine,0.26,-5.89
phenytoin,3.98,-8.18
physostigmine,1.05,-8.45
phytonadione,4.76,-4.45
pilocarpine,-1.11,-8.94
pimavanserin,4.01,-6.72
pimecrolimus,3.32,-8.29
pimozide,3.28,-9.29
pioglitazone,3.84,-9.3
piperacillin,3.21,-8.54
piperacillin / tazobactam,2.2,-4.73
piperonyl butoxide / pyrethrins,-1.52,-7.95
pirfenidone,-2.26,-4.27
piroxicam,4.41,-6.3
pitavastatin,2.12,-7.1
plecanatide,3.47,-6.31
pneumococcal 13-valent vaccine,1.11,-6.66
pneumococcal 23-polyvalent vaccine,-1.62,-5.33
podofilox,-1.56,-7.95
podophyllum resin,2.64,-7.56
polatuzumab vedotin,0.73,-4.58
polidocanol,-1.0,-4.29
"poliovirus vaccine, inactivated",1.19,-4.59
poly-l-lactic acid,-2.02,-7.19
poly-ureaurethane,1.86,-5.21
polyethylene glycol 3350,-0.48,-6.88
polyethylene glycol 3350 with electrolytes,3.48,-6.76
polymyxin b / trimethoprim,-0.17,-8.37
pomalidomide,0.91,-6.25
ponatinib,-2.41,-8.48
poractant,-1.96,-7.68
porfimer,0.44,-4.8
posaconazole,1.1,-8.36
potassium acid phosphate,2.0,-9.11
potassium bicarbonate,-0.31,-9.12
potassium bicarbonate / potassium chloride,2.71,-4.33
potassium chloride,3.95,-6.71
potassium citrate,3.35,-7.25
potassium gluconate,-2.2,-5.04
potassium iodide,1.1,-4.9
potassium phosphate,-1.71,-7.67
potassium phosphate / sodium phosphate,-0.68,-5.69
povidone iodine,4.9,-5.26
prabotulinumtoxinA,-1.43,-5.9
pralatrexate,1.24,-8.67
pralidoxime,2.14,-4.68
pramipexole,2.77,-6.53
pramoxine,1.7,-7.95
pramoxine / zinc acetate,-2.43,-7.16
prasugrel,-0.05,-9.29
pravastatin,1.38,-8.8
praziquantel,-1.84,-5.29
prazosin,0.13,-9.5
prednisolone,-2.25,-7.21
prednisolone / sulfacetamide sodium,-1.91,-6.63
prednisone,0.48,-9.2
pregabalin,-1.5,-4.15
pretomanid,1.76,-8.26
primaquine,2.67,-7.83
primidone,3.5,-7.83
probenecid,-1.0,-8.23
procainamide,-1.24,-9.49
procaine penicillin,-1.72,-5.49
procarbazine,2.27,-4.18
prochlorperazine,2.8,-8.27
progesterone,-2.26,-5.85
promethazine,4.52,-5.42
propafenone,-2.11,-4.83
propantheline,1.56,-7.18
proparacaine,2.82,-7.83
propofol,4.03,-7.71
propranolol,2.86,-5.58
propylthiouracil,3.51,-5.01
protamine,0.05,-8.5
protein c,3.61,-7.46
prothrombin complex,-1.9,-4.54
prucalopride,4.21,-5.06
prussian blue,1.61,-4.08
pseudoephedrine,3.63,-5.35
pseudoephedrine / triprolidine,0.89,-7.34
psyllium,2.33,-6.25
pyrantel,1.45,-5.86
pyrazinamide,2.99,-9.07
pyridostigmine,-1.89,-6.51
pyridoxine,-2.05,-5.6
pyrimethamine,-0.65,-8.58
pyrithione zinc,-1.3,-5.21
quetiapine,4.04,-6.29
quinapril,-0.86,-4.26
quinidine,4.82,-9.27
rabeprazole,0.03,-8.04
"rabies immune globulin, human",-1.13,-6.19
"rabies vaccine, human diploid cell",3.42,-7.87
"rabies vaccine, purified chick embryo cell",2.44,-5.57
raloxifene,1.24,-5.33
raltegravir,1.67,-8.94
ramipril,2.89,-6.67
ramucirumab,-0.79,-6.7
ranibizumab,4.97,-7.47
ranitidine,4.81,-4.37
ranolazine,2.38,-4.95
rasagiline,-1.0,-5.67
rasburicase,2.6,-5.57
ravulizumab,-1.96,-6.96
regadenoson,-2.27,-4.43
regorafenib,-0.57,-5.68
resorcinol,0.97,-5.49
retapamulin,4.01,-4.76
rho (d) immune globulin,2.95,-7.99
ribavirin,3.07,-5.06
riboflavin,0.69,-8.43
rifabutin,0.09,-7.6
rifampin,0.28,-7.65
rifapentine,4.91,-4.12
rifaximin,-2.2,-4.79
rilonacept,4.0,-5.64
riluzole,1.84,-5.5
rimabotulinumtoxinB,0.79,-6.41
rimantadine,2.94,-4.29
riociguat,1.15,-6.77
risedronate,4.05,-7.41
risperidone,4.26,-8.6
ritonavir,0.66,-5.18
rituximab,-0.42,-5.46
rivaroxaban,1.94,-7.39
rivastigmine,4.34,-9.36
rizatriptan,-0.92,-4.89
rocuronium,2.17,-9.44
roflumilast,2.24,-5.63
romidepsin,3.0,-4.16
romiplostim,-1.51,-7.09
ropinirole,2.87,-8.21
ropivacaine,4.32,-5.62
rosiglitazone,-1.15,-5.01
rosuvastatin,-0.72,-6.49
rotavirus vaccine,4.79,-4.18
rotigotine,-1.14,-9.22
rubidium chloride rb-82,3.91,-6.72
rufinamide,1.19,-5.55
ruxolitinib,-0.65,-4.76
saccharomyces boulardii lyo,4.03,-8.51
sacrosidase,0.84,-5.1
salicylic acid,1.36,-6.46
salicylic acid / sulfur,0.19,-7.32
salicylic acid / urea,1.95,-8.78
saliva substitutes,-1.27,-4.74
salmeterol,0.43,-8.63
sapropterin,4.77,-7.8
sargramostim,-0.56,-7.9
scopolamine,2.43,-4.71
sebelipase alfa,-0.06,-5.8
secnidazole,3.3,-5.12
secobarbital,-1.52,-8.12
secukinumab,4.77,-6.06
selegiline,0.9,-6.36
selenium,-0.73,-4.92
selenium sulfide,-1.95,-4.52
semaglutide,-1.23,-9.43
sertraline,1.4,-5.79
sevelamer,0.03,-9.21
sildenafil,3.72,-6.48
silodosin,0.73,-7.92
siltuximab,-0.63,-7.81
silver,2.13,-7.56
silver nitrate,2.8,-6.08
silver sulfadiazine,-1.25,-7.66
simethicone,-1.24,-5.47
simvastatin,-2.22,-7.28
sincalide,3.02,-9.12
sinecatechins,2.48,-5.19
sirolimus,1.06,-7.93
sitagliptin,3.83,-7.12
smallpox and monkeypox vaccine,3.54,-5.73
smallpox vaccine,1.89,-7.67
sodium acetate,4.01,-9.19
sodium benzoate / sodium phenylacetate,-0.96,-7.44
sodium bicarbonate,-1.66,-4.31
sodium chloride,-0.48,-5.97
sodium chondroitin sulfate / sodium hyaluronate,-2.07,-5.81
sodium hyaluronate,1.48,-6.02
sodium hypochlorite,4.52,-8.41
sodium iodide-i-131,-2.2,-7.2
sodium nitrite,-1.58,-5.37
sodium nitrite / sodium thiosulfate,0.89,-8.94
sodium oxybate,4.5,-7.97
sodium phenylbutyrate,-0.13,-7.98
sodium phosphate,1.3,-7.12
sodium polystyrene sulfonate,-2.19,-4.11
sodium tetradecyl sulfate,-1.39,-9.13
sodium thiosulfate,4.9,-6.65
sodium zirconium cyclosilicate,4.74,-8.51
sofosbuvir,-2.46,-4.16
sofosbuvir / velpatasvir,4.64,-8.88
sofosbuvir / velpatasvir / voxilaprevir,2.29,-7.28
solifenacin,4.01,-5.44
solriamfetol,0.91,-5.62
somatropin,1.37,-7.17
sonidegib,1.17,-7.59
sorafenib,2.5,-7.31
sotalol,-1.45,-8.05
spinosad,-2.28,-8.37
spironolactone,-0.19,-6.84
sterile talc,2.79,-8.02
stiripentol,-0.99,-7.92
streptomycin,2.55,-5.89
streptozocin,4.77,-4.17
succimer,-1.8,-6.18
succinylcholine,2.54,-9.08
sucralfate,0.83,-9.08
sucroferric oxyhydroxide,4.01,-4.27
sugammadex,-1.17,-7.86
sulconazole,2.69,-8.99
sulfacetamide sodium,3.79,-6.21
sulfacetamide sodium / sulfur,4.58,-6.07
sulfadiazine,2.62,-5.93
sulfamethoxazole / trimethoprim,1.23,-8.03
sulfasalazine,2.13,-9.42
sulindac,4.02,-4.19
sumatriptan,1.78,-8.12
sunitinib,-2.27,-5.78
tacrolimus,4.48,-5.61
tadalafil,2.67,-6.14
tafamidis,2.57,-7.78
tafenoquine,-0.88,-8.01
tafluprost,2.44,-6.21
taliglucerase alfa,0.45,-4.74
talimogene laherparepvec,2.38,-4.29
tamoxifen,-1.7,-8.92
tamsulosin,2.43,-8.65
tapentadol,5.0,-4.3
tasimelteon,-2.14,-5.45
tavaborole,4.83,-4.64
tazarotene,0.55,-8.39
tazemetostat,4.03,-6.27
tbo-filgrastim,3.37,-5.64
tecovirimat,1.75,-5.76
teduglutide,3.04,-7.26
tegaserod,4.09,-9.42
telmisartan,0.53,-6.29
telotristat,-0.05,-8.11
temazepam,2.51,-7.02
temozolomide,3.56,-4.23
temsirolimus,3.22,-7.31
teniposide,3.48,-4.88
tenofovir,0.77,-8.46
tenofovir alafenamide,3.63,-5.8
teprotumumab,-1.6,-4.13
terazosin,1.58,-8.94
terbinafine,-2.46,-9.45
terbutaline,-0.07,-7.12
terconazole,0.25,-8.99
teriflunomide,0.47,-5.38
teriparatide,2.72,-4.47
tesamorelin,0.41,-7.11
testosterone,0.87,-8.08
tetanus immune globulin,-0.72,-7.11
tetrabenazine,0.3,-5.52
tetracaine,-0.8,-9.45
tetracycline,-1.95,-6.26
tetrahydrozoline,2.03,-6.13
tetrahydrozoline / zinc sulfate,2.51,-5.99
tetrofosmin,2.15,-8.17
thalidomide,0.98,-5.57
theophylline,0.35,-9.0
thiamine,3.98,-8.4
thioguanine,1.39,-4.67
thiotepa,1.09,-5.44
thiothixene,-2.31,-9.42
thrombin,0.06,-8.13
thyroid desiccated,0.35,-8.32
thyrotropin alpha,0.49,-8.01
ticagrelor,1.85,-8.14
ticlopidine,1.5,-9.16
tigecycline,2.06,-6.98
timolol,3.24,-5.47
tinidazole,3.6,-6.16
tioconazole,2.89,-5.8
tiopronin,4.67,-9.05
tiotropium,-2.36,-4.27
tipiracil / trifluridine,-1.03,-4.89
tirofiban,-2.44,-5.07
tisagenlecleucel,2.36,-4.97
tizanidine,4.24,-4.37
tobramycin,-0.67,-6.51
tocilizumab,4.45,-8.4
tolmetin,-2.05,-6.11
tolnaftate,4.51,-5.41
tolterodine,0.14,-5.44
tolvaptan,-1.74,-6.63
topiramate,1.14,-9.12
topotecan,-0.57,-7.46
torsemide,-0.36,-4.44
trabectedin,-0.2,-6.29
trace elements,3.52,-6.54
tramadol,1.54,-8.02
trametinib,-0.17,-7.47
trandolapril,2.08,-4.58
tranexamic acid,2.87,-5.83
trastuzumab,-0.46,-5.17
travoprost,0.6,-7.0
trazodone,-1.59,-6.03
treprostinil,-1.14,-8.13
tretinoin,2.61,-5.62
triamcinolone,-1.14,-7.15
triamterene,1.44,-7.07
triclabendazole,2.82,-5.93
trientine,-1.7,-4.35
trifluridine,1.75,-9.15
trihexyphenidyl,-0.58,-4.96
trimethoprim,4.72,-7.89
triprolidine,1.13,-7.06
triptorelin,3.54,-9.38
trolamine salicylate,1.63,-7.84
tropicamide,-2.17,-6.74
trospium,2.25,-9.19
trypan blue,4.64,-6.8
tuberculin purified protein derivative,2.01,-4.4
"typhoid vaccine, inactivated",3.64,-8.92
"typhoid vaccine, live",4.13,-5.3
ulipristal,-0.79,-7.25
umeclidinium,-0.91,-5.9
umeclidinium / vilanterol,2.08,-8.07
undecylenic acid,0.58,-8.62
urea,3.8,-8.62
uridine,4.25,-9.11
urofollitropin,0.15,-8.48
urokinase,-0.72,-5.85
ursodiol,3.35,-4.65
ustekinumab,-0.44,-5.02
valacyclovir,3.67,-5.73
valbenazine,0.68,-8.89
valganciclovir,2.51,-7.91
valproic acid,-1.78,-7.8
valrubicin,2.18,-8.13
valsartan,0.89,-6.67
vancomycin,1.9,-6.55
